Date,Close/Last,Volume,Open,High,Low
02/03/2026,$702.89,3524657,$694.36,$710.03,$691.40
02/02/2026,$690.91,4450010,$659.82,$691.38,$657.4305
01/30/2026,$657.36,3300085,$655.65,$677.831,$650.31
01/29/2026,$665.24,4441879,$655.17,$679.99,$642.73
01/28/2026,$643.28,2720670,$637.97,$647.28,$628.98
01/27/2026,$638.91,1827521,$640.00,$644.13,$633.23
01/26/2026,$635.92,2532867,$628.00,$639.00,$619.2604
01/23/2026,$626.62,2267826,$644.12,$646.50,$623.5702
01/22/2026,$648.41,1565707,$649.11,$655.78,$640.90
01/21/2026,$645.38,2490744,$633.67,$647.201,$627.3201
01/20/2026,$629.00,2659038,$642.00,$644.10,$625.12
01/16/2026,$646.89,2554861,$651.97,$655.68,$641.01
01/15/2026,$647.18,2052803,$644.94,$652.3599,$644.04
01/14/2026,$638.75,2106113,$634.10,$639.73,$623.07
01/13/2026,$636.53,1959083,$633.20,$644.59,$633.00
01/12/2026,$629.77,1856964,$614.65,$630.98,$612.96
01/09/2026,$617.62,1822011,$609.97,$619.15,$608.20
01/08/2026,$608.13,2075412,$596.52,$609.5799,$594.1745
01/07/2026,$596.52,3312371,$623.00,$625.00,$595.775
01/06/2026,$623.09,2706762,$616.00,$626.77,$608.90
01/05/2026,$616.10,3444837,$607.88,$621.75,$606.22
01/02/2026,$598.41,2762009,$577.59,$599.61,$575.31
12/31/2025,$572.87,1164004,$577.30,$578.94,$572.05
12/30/2025,$577.39,1216946,$580.01,$580.98,$575.51
12/29/2025,$578.61,2585835,$580.09,$583.969,$574.64
12/26/2025,$583.00,954395,$583.21,$583.8299,$578.65
12/24/2025,$583.76,947042,$582.66,$587.13,$581.00
12/23/2025,$582.42,1731351,$580.50,$588.71,$580.50
12/22/2025,$582.41,2387725,$584.49,$585.79,$575.692
12/19/2025,$576.22,5355561,$572.69,$581.73,$570.33
12/18/2025,$565.83,2193033,$568.50,$574.6599,$561.91
12/17/2025,$561.89,3753312,$587.59,$590.999,$557.46
12/16/2025,$588.93,2319382,$590.70,$598.655,$586.28
