Date,Close/Last,Volume,Open,High,Low
02/03/2026,$178.04,18425420,$173.88,$178.82,$173.7541
02/02/2026,$174.03,14235350,$173.44,$176.27,$172.65
01/30/2026,$176.90,22946580,$172.615,$177.30,$171.27
01/29/2026,$171.19,16786610,$172.65,$174.92,$171.04
01/28/2026,$169.93,9200244,$169.955,$170.42,$168.195
01/27/2026,$169.05,9784855,$167.77,$169.35,$166.65
01/26/2026,$167.50,8912601,$168.325,$168.41,$166.77
01/23/2026,$166.72,8368686,$167.95,$168.44,$166.441
01/22/2026,$166.66,8957383,$166.26,$167.56,$165.73
01/21/2026,$166.73,10918540,$167.00,$168.475,$166.06
01/20/2026,$165.30,11142530,$166.705,$167.65,$165.15
01/16/2026,$166.26,9745753,$166.59,$167.29,$165.81
01/15/2026,$166.16,8097405,$165.77,$167.33,$165.10
01/14/2026,$167.24,16414920,$164.10,$169.37,$164.10
01/13/2026,$163.87,12068630,$163.47,$166.13,$163.30
01/12/2026,$162.34,9796786,$162.70,$163.56,$160.71
01/09/2026,$162.11,12549640,$160.56,$162.70,$159.935
01/08/2026,$159.25,12929640,$155.50,$160.44,$155.21
01/07/2026,$155.20,13537870,$157.44,$158.005,$154.90
01/06/2026,$156.54,20564940,$164.88,$165.05,$156.11
01/05/2026,$163.85,35094880,$165.75,$165.75,$159.3098
01/02/2026,$155.90,6862097,$152.165,$155.90,$151.25
12/31/2025,$152.41,4953110,$152.39,$152.55,$151.67
12/30/2025,$152.31,5150514,$151.50,$152.6707,$151.47
12/29/2025,$150.99,5589133,$151.00,$151.6365,$150.085
12/26/2025,$150.02,3706915,$150.38,$151.14,$149.6472
12/24/2025,$150.50,2227609,$150.38,$150.99,$150.10
12/23/2025,$150.51,4663665,$150.04,$151.08,$149.85
12/22/2025,$149.80,8143618,$148.81,$150.49,$148.695
12/19/2025,$147.75,21701440,$147.96,$149.01,$147.185
12/18/2025,$147.69,6998843,$148.85,$149.27,$147.08
12/17/2025,$149.52,8805268,$147.50,$149.87,$147.35
12/16/2025,$146.75,11290540,$148.54,$148.82,$146.49
12/15/2025,$149.80,7502951,$149.84,$150.10,$148.43
12/12/2025,$149.99,5848050,$151.15,$151.55,$149.63
12/11/2025,$150.72,8414160,$150.83,$151.94,$150.10
12/10/2025,$151.41,10976300,$149.175,$151.80,$148.70
12/09/2025,$148.49,8916749,$149.05,$150.10,$148.22
12/08/2025,$148.71,10237150,$149.25,$150.073,$147.66
12/05/2025,$150.00,12659760,$152.00,$152.63,$149.83
12/04/2025,$152.26,7254724,$151.75,$152.94,$151.2215
12/03/2025,$151.59,8060175,$151.04,$152.503,$150.975
12/02/2025,$150.25,9196311,$152.02,$152.46,$149.26
