Date,Close/Last,Volume,Open,High,Low
02/03/2026,$104.22,24827090,$104.78,$104.99,$102.34
02/02/2026,$104.45,37778500,$104.01,$108.61,$103.75
01/30/2026,$112.80,17895220,$111.36,$112.945,$110.99
01/29/2026,$111.58,11078960,$109.63,$111.67,$108.76
01/28/2026,$109.56,9016629,$110.28,$111.4299,$109.00
01/27/2026,$110.61,8956915,$111.50,$111.80,$110.03
01/26/2026,$111.31,8859849,$111.68,$112.41,$111.13
01/23/2026,$110.98,10819750,$112.685,$112.9476,$110.55
01/22/2026,$113.21,12437710,$113.165,$114.29,$112.17
01/21/2026,$113.19,10041420,$110.57,$113.25,$110.50
01/20/2026,$110.34,9818195,$109.66,$111.09,$108.80
01/16/2026,$111.20,12049610,$113.20,$113.85,$111.12
01/15/2026,$113.41,7958518,$113.71,$114.11,$112.17
01/14/2026,$113.53,8951292,$112.81,$113.59,$112.26
01/13/2026,$112.98,8945659,$112.84,$113.22,$111.61
01/12/2026,$112.82,10833810,$114.63,$114.94,$112.55
01/09/2026,$115.88,8935207,$114.31,$115.98,$113.90
01/08/2026,$114.17,9778203,$112.545,$114.99,$112.545
01/07/2026,$112.91,8296293,$114.46,$114.97,$112.51
01/06/2026,$114.57,7388341,$113.785,$114.7599,$113.107
01/05/2026,$114.07,12028970,$111.42,$116.03,$111.38
01/02/2026,$111.85,8906211,$113.44,$113.44,$111.62
12/31/2025,$113.77,6607973,$114.77,$114.89,$113.55
12/30/2025,$114.79,6883851,$114.10,$115.28,$114.10
12/29/2025,$114.19,7966017,$113.315,$114.49,$113.31
12/26/2025,$113.56,5428886,$114.15,$114.74,$113.27
12/24/2025,$114.48,4606746,$112.94,$114.53,$112.80
12/23/2025,$113.22,7634453,$112.29,$113.31,$112.04
12/22/2025,$112.38,8803331,$111.41,$112.80,$111.15
12/19/2025,$111.24,21138380,$112.32,$113.478,$110.92
12/18/2025,$111.87,12913870,$110.53,$112.80,$110.42
12/17/2025,$110.63,12142520,$111.06,$112.13,$110.455
12/16/2025,$111.62,15580200,$111.215,$112.8499,$110.855
12/15/2025,$110.49,14317990,$110.70,$111.55,$108.55
12/12/2025,$111.60,13059070,$111.73,$113.34,$111.15
12/11/2025,$111.46,13281380,$109.20,$111.56,$109.11
12/10/2025,$108.83,11237890,$107.12,$109.665,$106.58
12/09/2025,$107.02,8549401,$107.59,$107.745,$106.55
12/08/2025,$107.63,13727700,$105.30,$108.045,$104.83
12/05/2025,$105.30,10680060,$105.18,$106.17,$104.56
12/04/2025,$105.47,11471410,$105.84,$106.215,$104.5101
12/03/2025,$105.74,10177760,$104.90,$105.85,$104.47
12/02/2025,$104.83,8548213,$106.525,$106.57,$104.82
12/01/2025,$106.77,12628910,$104.92,$106.83,$104.47
11/28/2025,$104.47,6525548,$103.30,$104.74,$103.24
11/26/2025,$103.43,10130220,$103.315,$104.2509,$102.88
11/25/2025,$103.31,10574460,$102.49,$103.915,$102.00
11/24/2025,$101.94,15024850,$104.085,$104.335,$101.89
11/21/2025,$104.28,10785420,$103.48,$104.78,$102.69
11/20/2025,$102.70,12609880,$105.37,$105.80,$102.50
11/19/2025,$104.67,12790000,$106.08,$107.59,$104.08
11/18/2025,$106.28,11796190,$105.10,$107.08,$105.00
11/17/2025,$105.69,12296420,$105.75,$107.67,$105.117
11/14/2025,$105.80,16691360,$107.52,$108.73,$105.30
11/13/2025,$107.61,44045360,$108.89,$109.36,$104.91
11/12/2025,$116.65,15248740,$114.57,$117.0888,$114.39
11/11/2025,$114.85,9713347,$112.65,$114.97,$112.42
11/10/2025,$112.24,9158709,$111.145,$112.79,$111.03
11/07/2025,$110.74,8782121,$110.255,$111.425,$110.04
11/06/2025,$110.49,10291780,$111.17,$111.71,$109.18
11/05/2025,$111.36,5746038,$111.35,$111.97,$110.60
11/04/2025,$111.47,7950075,$110.97,$111.785,$110.64
11/03/2025,$112.12,8542271,$112.55,$112.81,$111.03
10/31/2025,$112.62,8700619,$111.575,$113.10,$110.53
10/30/2025,$111.84,8311279,$110.13,$113.5801,$109.55
10/29/2025,$110.24,7097056,$111.18,$111.53,$110.01
10/28/2025,$111.65,6839375,$111.91,$112.48,$111.4623
10/27/2025,$112.34,6029584,$111.94,$112.60,$111.31
10/24/2025,$111.68,6235183,$113.23,$113.65,$111.59
10/23/2025,$113.03,6945407,$113.17,$113.83,$111.9001
10/22/2025,$113.08,7569242,$114.00,$114.28,$112.98
10/21/2025,$114.30,8163164,$112.25,$114.5395,$112.04
10/20/2025,$111.96,8047473,$111.03,$112.25,$110.60
10/17/2025,$110.67,10090540,$109.74,$111.46,$109.44
10/16/2025,$109.88,7531191,$111.79,$112.085,$108.51
10/15/2025,$111.71,7012557,$111.47,$112.675,$111.14
10/14/2025,$111.17,7897966,$109.65,$111.84,$109.20
10/13/2025,$110.27,7435054,$110.39,$110.96,$109.38
10/10/2025,$109.19,9635211,$111.53,$112.68,$109.11
10/09/2025,$110.99,6502403,$111.82,$113.00,$110.875
10/08/2025,$111.89,7074442,$112.805,$113.20,$111.65
10/07/2025,$112.53,5409754,$112.63,$113.40,$111.80
10/06/2025,$112.75,6141223,$112.69,$113.105,$111.45
10/03/2025,$112.47,7148378,$112.035,$113.57,$111.56
10/02/2025,$112.14,8695136,$112.975,$113.17,$110.775
10/01/2025,$112.95,9736341,$114.08,$116.059,$112.79
09/30/2025,$114.50,9303666,$114.53,$114.88,$113.335
09/29/2025,$114.78,9304136,$113.47,$115.01,$113.33
09/26/2025,$113.47,6145725,$113.13,$113.57,$112.76
09/25/2025,$112.99,6365502,$112.71,$114.05,$112.65
09/24/2025,$113.43,8755235,$112.41,$114.1499,$112.20
09/23/2025,$112.25,13145050,$112.72,$113.62,$111.60
09/22/2025,$112.56,15479830,$111.76,$113.63,$111.52
09/19/2025,$113.76,23398420,$114.60,$114.60,$111.93
09/18/2025,$114.86,9460509,$115.33,$115.78,$114.05
09/17/2025,$116.10,7333899,$115.24,$116.66,$115.22
09/16/2025,$115.23,6844852,$115.45,$115.85,$114.71
09/15/2025,$115.62,7150935,$116.11,$116.75,$115.00
09/12/2025,$115.96,7640875,$116.26,$117.01,$115.10
09/11/2025,$117.08,8399064,$115.45,$117.165,$114.63
09/10/2025,$115.79,7484866,$116.85,$117.51,$114.495
09/09/2025,$117.37,5444265,$118.525,$119.05,$117.22
09/08/2025,$118.84,6450670,$117.96,$118.88,$116.74
09/05/2025,$117.91,6669126,$118.91,$119.78,$117.70
09/04/2025,$118.81,6949291,$117.08,$119.675,$116.76
09/03/2025,$117.38,6288650,$117.83,$118.62,$116.35
09/02/2025,$118.27,6015871,$117.02,$118.28,$115.9965
08/29/2025,$118.38,5212602,$117.39,$118.645,$117.245
08/28/2025,$117.64,5687698,$118.10,$118.37,$116.61
08/27/2025,$118.09,4377994,$117.53,$118.46,$117.29
08/26/2025,$117.65,5787377,$117.43,$118.375,$117.16
08/25/2025,$117.71,5424937,$118.49,$119.05,$117.70
08/22/2025,$118.86,7161725,$117.585,$119.775,$117.125
08/21/2025,$116.21,6337059,$116.57,$116.66,$115.53
08/20/2025,$117.04,7046680,$116.075,$117.89,$116.00
08/19/2025,$116.27,5913959,$116.50,$116.99,$115.72
08/18/2025,$116.55,5798370,$115.19,$117.005,$115.16
08/15/2025,$115.39,6768603,$116.57,$116.84,$115.19
08/14/2025,$116.31,6800884,$115.48,$116.71,$114.62
08/13/2025,$116.64,9025741,$114.23,$117.23,$114.15
08/12/2025,$113.72,7275374,$113.31,$114.40,$112.49
08/11/2025,$112.55,8532602,$112.91,$113.15,$111.54
08/08/2025,$112.43,9490971,$113.30,$114.292,$112.02
08/07/2025,$112.88,15484440,$115.75,$116.40,$111.82
08/06/2025,$115.17,22153700,$115.775,$116.1224,$112.20
08/05/2025,$118.32,15365680,$119.25,$119.57,$117.33
08/04/2025,$119.35,8845043,$117.725,$119.52,$117.725
08/01/2025,$116.59,8637815,$117.585,$117.8918,$115.57
07/31/2025,$119.11,7235003,$119.455,$119.91,$118.58
07/30/2025,$119.54,5281457,$119.95,$120.50,$119.175
07/29/2025,$119.91,6283748,$120.58,$120.805,$119.36
07/28/2025,$120.37,6042152,$121.03,$121.40,$119.8889
07/25/2025,$121.47,5656575,$122.255,$122.45,$120.87
07/24/2025,$121.95,6702242,$122.85,$123.40,$121.81
07/23/2025,$122.94,8258934,$121.52,$123.18,$121.50
07/22/2025,$121.06,5614473,$120.75,$121.43,$120.56
07/21/2025,$120.84,6392470,$121.07,$121.9699,$120.78
07/18/2025,$121.42,9486785,$121.965,$122.16,$120.29
07/17/2025,$122.21,9933689,$119.75,$122.39,$119.75
07/16/2025,$119.82,6747531,$119.36,$120.57,$118.875
07/15/2025,$118.98,7943647,$120.23,$120.23,$118.88
07/14/2025,$119.97,6853279,$119.775,$120.50,$119.6018
07/11/2025,$119.87,6112433,$120.64,$121.2265,$119.73
07/10/2025,$121.56,6893444,$120.62,$121.95,$120.62
07/09/2025,$120.61,6724923,$121.835,$122.35,$120.61
07/08/2025,$121.82,6622889,$123.215,$123.711,$121.82
07/07/2025,$123.16,7023455,$123.21,$124.61,$122.5788
07/03/2025,$124.00,4252305,$123.065,$124.24,$122.90
07/02/2025,$122.98,7317075,$123.315,$123.70,$122.53
07/01/2025,$123.49,9815654,$123.50,$123.755,$122.45
06/30/2025,$124.01,13456210,$124.31,$124.69,$123.18
06/27/2025,$122.34,13435550,$121.85,$122.94,$121.4844
06/26/2025,$121.46,10439600,$119.98,$121.67,$119.68
06/25/2025,$119.42,6976323,$118.77,$119.72,$118.63
06/24/2025,$118.65,8350221,$117.75,$119.08,$117.75
06/23/2025,$117.75,8347998,$116.66,$117.99,$115.02
06/20/2025,$117.63,17180440,$118.25,$119.05,$116.90
06/18/2025,$117.86,8181181,$117.88,$118.75,$116.84
06/17/2025,$118.13,9241183,$118.99,$119.33,$117.645
06/16/2025,$119.48,9592056,$118.02,$120.3416,$117.87
06/13/2025,$117.94,13204930,$117.305,$118.32,$117.30
06/12/2025,$118.61,7980313,$118.87,$119.39,$117.66
06/11/2025,$119.52,10439190,$118.38,$119.545,$117.65
06/10/2025,$118.73,18948440,$115.525,$120.50,$115.525
06/09/2025,$115.66,7960389,$113.98,$116.11,$113.98
06/06/2025,$113.90,5790664,$113.36,$114.22,$113.21
06/05/2025,$112.53,8550153,$113.73,$114.34,$111.8435
06/04/2025,$113.49,5614893,$113.855,$114.05,$112.9764
06/03/2025,$113.60,9738804,$112.725,$114.69,$112.52
06/02/2025,$112.95,7546839,$112.68,$113.60,$112.25
05/30/2025,$113.04,12881060,$112.005,$113.35,$111.3701
05/29/2025,$112.02,9683748,$112.01,$112.26,$110.52
05/28/2025,$111.52,5787948,$112.20,$112.47,$111.17
05/27/2025,$112.36,10201110,$111.025,$112.89,$110.15
05/23/2025,$109.72,8086103,$109.60,$110.345,$108.78
05/22/2025,$111.13,7903694,$109.975,$111.7965,$109.975
05/21/2025,$110.46,10150620,$111.692,$112.485,$110.13
05/20/2025,$112.36,6433281,$112.44,$113.40,$111.81
05/19/2025,$112.66,7209681,$112.12,$112.99,$111.90
05/16/2025,$113.42,10961000,$111.915,$113.44,$111.42
05/15/2025,$112.22,8322383,$112.23,$112.85,$111.58
05/14/2025,$112.94,15352210,$111.38,$113.41,$110.83
05/13/2025,$111.38,14076720,$110.245,$112.20,$110.15
05/12/2025,$110.49,18366640,$109.87,$110.935,$108.66
05/09/2025,$105.94,10438190,$105.255,$106.19,$104.76
05/08/2025,$105.12,19265440,$103.97,$106.19,$103.855
05/07/2025,$102.09,36174940,$102.42,$103.3099,$100.1411
05/06/2025,$92.17,11839410,$91.20,$92.74,$91.00
05/05/2025,$92.11,10231010,$89.70,$93.075,$89.61
05/02/2025,$92.49,7594041,$91.84,$93.185,$91.84
05/01/2025,$90.81,7790638,$91.265,$91.61,$90.36
04/30/2025,$90.95,8474834,$89.89,$91.19,$88.56
04/29/2025,$91.17,6359924,$89.83,$91.655,$89.76
04/28/2025,$90.16,8491785,$90.45,$91.365,$89.64
04/25/2025,$90.28,7749630,$90.07,$90.34,$89.07
04/24/2025,$90.01,10309950,$87.45,$90.24,$86.77
04/23/2025,$87.29,12089120,$89.025,$89.87,$87.03
04/22/2025,$86.09,9578470,$85.01,$86.56,$84.60
04/21/2025,$84.00,14166830,$84.91,$85.23,$82.98
04/17/2025,$84.81,14810890,$83.37,$85.78,$83.36
