Date,Close/Last,Volume,Open,High,Low
02/03/2026,$938.99,2321948,$949.50,$964.50,$919.06
02/02/2026,$946.33,1802012,$932.125,$949.4444,$912.08
01/30/2026,$935.41,1893676,$933.95,$947.00,$923.17
01/29/2026,$940.12,2335849,$937.30,$955.38,$925.13
01/28/2026,$936.81,1674080,$932.51,$937.17,$922.76
01/27/2026,$929.72,2012488,$924.00,$933.40,$920.39
01/26/2026,$931.86,2655865,$918.41,$933.735,$917.98
01/23/2026,$918.88,3872606,$934.08,$937.19,$917.05
01/22/2026,$954.65,2468294,$960.06,$970.9504,$950.81
01/21/2026,$953.01,2251250,$944.00,$968.92,$943.45
01/20/2026,$943.37,2629085,$946.38,$962.60,$939.10
01/16/2026,$962.00,3071631,$973.00,$984.70,$957.00
01/15/2026,$975.86,3773730,$924.90,$981.2599,$924.67
01/14/2026,$932.67,2513038,$932.30,$938.15,$917.90
01/13/2026,$938.15,1969584,$947.32,$949.94,$931.0001
01/12/2026,$949.55,2180033,$934.00,$950.56,$929.1101
01/09/2026,$938.98,1334087,$938.77,$946.14,$932.70
01/08/2026,$934.83,1961243,$935.475,$945.19,$932.00
01/07/2026,$941.02,2683338,$956.88,$958.25,$934.00
01/06/2026,$955.47,1965954,$949.41,$958.57,$943.25
01/05/2026,$948.44,3742022,$914.40,$961.69,$912.60
01/02/2026,$914.34,2817613,$884.00,$914.44,$880.75
12/31/2025,$879.00,1221740,$884.10,$886.00,$876.79
12/30/2025,$884.42,1833267,$894.74,$895.02,$881.1801
12/29/2025,$892.18,1577955,$906.45,$906.48,$891.56
12/26/2025,$907.04,995328,$911.00,$913.3175,$905.305
12/24/2025,$910.78,771780,$901.16,$911.88,$898.70
12/23/2025,$901.71,1210438,$900.345,$905.92,$893.70
12/22/2025,$899.00,1442332,$896.52,$905.48,$894.84
12/19/2025,$893.48,4808303,$883.17,$899.7475,$881.951
12/18/2025,$876.30,2066338,$880.50,$892.785,$874.6975
12/17/2025,$872.33,2213336,$886.33,$895.97,$868.441
12/16/2025,$879.15,2161603,$890.23,$896.24,$874.32
12/15/2025,$889.59,1976603,$892.00,$904.47,$889.59
12/12/2025,$887.96,2715200,$913.75,$914.99,$886.99
12/11/2025,$911.03,2682952,$889.98,$919.098,$888.00
12/10/2025,$889.24,2394286,$871.35,$897.1959,$869.271
12/09/2025,$876.58,2274812,$866.00,$883.721,$864.31
12/08/2025,$866.69,2238131,$861.10,$870.56,$856.3001
12/05/2025,$854.56,2277520,$837.26,$856.20,$836.515
12/04/2025,$837.83,1671014,$835.535,$843.99,$834.50
12/03/2025,$836.57,2347919,$812.95,$837.91,$812.95
12/02/2025,$815.21,2254578,$811.12,$819.70,$808.30
12/01/2025,$810.86,2133209,$818.59,$824.73,$809.61
11/28/2025,$826.04,868346,$820.00,$830.57,$818.95
11/26/2025,$816.01,1862897,$805.84,$819.58,$805.00
11/25/2025,$802.32,2253164,$797.00,$805.26,$777.99
11/24/2025,$790.71,2319465,$778.635,$793.99,$775.3628
11/21/2025,$774.03,2284742,$776.83,$780.37,$754.00
11/20/2025,$773.70,2598978,$795.25,$816.00,$772.19
11/19/2025,$785.99,1521113,$776.30,$787.87,$775.00
11/18/2025,$776.30,1673456,$772.06,$787.70,$766.5446
11/17/2025,$775.56,1850550,$790.00,$796.73,$770.50
11/14/2025,$790.91,2552397,$795.55,$800.61,$778.00
11/13/2025,$805.50,2557357,$833.06,$841.28,$805.02
11/12/2025,$838.97,2954130,$814.13,$840.00,$814.13
11/11/2025,$810.31,1521454,$798.48,$812.00,$795.61
11/10/2025,$797.20,1698196,$796.08,$806.36,$788.80
11/07/2025,$786.34,2098378,$783.00,$787.06,$762.80
11/06/2025,$787.58,1572510,$794.00,$798.20,$777.00
11/05/2025,$793.09,1832849,$790.44,$797.36,$775.58
11/04/2025,$790.83,2045978,$777.00,$806.00,$773.00
11/03/2025,$785.52,1569490,$789.57,$796.00,$781.44
10/31/2025,$789.37,1328350,$784.98,$791.7224,$783.00
10/30/2025,$790.16,1829451,$783.56,$807.14,$780.6001
10/29/2025,$783.06,2251507,$788.00,$800.49,$778.82
10/28/2025,$792.09,1242031,$792.05,$798.36,$787.35
10/27/2025,$789.99,1645272,$789.00,$796.7099,$787.01
10/24/2025,$783.88,2505628,$759.85,$784.61,$756.00
10/23/2025,$750.78,1615360,$749.34,$755.00,$744.66
10/22/2025,$744.60,2141448,$760.61,$760.61,$743.11
