Date,Close/Last,Volume,Open,High,Low
02/03/2026,$628.26,2300697,$640.00,$646.59,$618.45
02/02/2026,$636.00,1967841,$620.00,$640.9799,$615.1802
01/30/2026,$634.22,2099633,$621.00,$641.19,$615.509
01/29/2026,$622.51,3931918,$609.24,$645.67,$607.56
01/28/2026,$597.27,1323994,$592.90,$599.32,$583.0001
01/27/2026,$594.95,1710669,$580.00,$595.87,$573.8192
01/26/2026,$581.66,1460532,$590.00,$590.40,$575.63
01/23/2026,$590.82,1271698,$594.64,$596.225,$586.01
01/22/2026,$593.91,1493620,$585.18,$595.945,$582.495
01/21/2026,$586.23,1817740,$576.06,$588.97,$576.06
01/20/2026,$576.06,1522344,$580.00,$586.85,$573.39
01/16/2026,$582.43,2375721,$578.21,$582.93,$577.42
01/15/2026,$577.89,1763376,$568.66,$579.60,$559.73
01/14/2026,$572.70,2643085,$556.99,$578.04,$556.12
01/13/2026,$558.30,2012997,$560.02,$563.30,$550.84
01/12/2026,$551.24,2970017,$548.96,$554.27,$540.31
01/09/2026,$542.92,2647693,$525.88,$546.07,$525.88
01/08/2026,$518.44,4108772,$531.89,$542.87,$513.01
01/07/2026,$496.87,4084938,$525.31,$532.3754,$496.001
01/06/2026,$522.04,2813074,$517.06,$538.73,$517.06
01/05/2026,$511.57,1982594,$503.93,$515.88,$503.00
01/02/2026,$497.07,1126471,$483.25,$497.16,$476.54
12/31/2025,$483.67,670337,$489.00,$489.68,$483.52
12/30/2025,$488.00,996445,$489.34,$491.70,$487.94
12/29/2025,$488.87,933384,$483.83,$489.43,$483.29
12/26/2025,$483.03,606016,$485.20,$487.0599,$481.18
12/24/2025,$485.75,581596,$485.00,$491.18,$484.45
12/23/2025,$482.55,864247,$484.00,$484.95,$481.00
12/22/2025,$483.57,1120783,$474.96,$485.02,$474.96
12/19/2025,$474.13,2826455,$466.34,$475.72,$464.88
12/18/2025,$470.14,1364004,$472.41,$476.20,$469.00
12/17/2025,$474.79,1989183,$471.00,$476.89,$462.25
12/16/2025,$477.06,1262401,$479.61,$479.785,$473.86
12/15/2025,$484.42,1002652,$478.99,$484.77,$477.235
12/12/2025,$480.25,1384459,$475.66,$480.84,$470.79
12/11/2025,$474.88,1293962,$470.29,$479.70,$470.29
12/10/2025,$467.94,2313731,$465.21,$473.08,$455.88
12/09/2025,$466.89,1102519,$466.28,$472.81,$465.00
12/08/2025,$465.38,1390663,$453.50,$465.56,$451.48
12/05/2025,$452.20,1290903,$447.78,$452.82,$446.41
12/04/2025,$448.35,1283664,$448.18,$449.53,$445.43
12/03/2025,$446.80,1751846,$443.41,$448.47,$439.05
12/02/2025,$441.82,1535584,$440.98,$442.75,$437.25
12/01/2025,$439.19,1659207,$453.28,$454.085,$438.50
11/28/2025,$457.86,748020,$454.54,$457.86,$452.61
11/26/2025,$454.16,1299839,$453.30,$457.26,$452.98
11/25/2025,$452.41,1615925,$451.06,$454.03,$448.48
11/24/2025,$451.06,1411197,$459.43,$461.19,$450.0605
11/21/2025,$460.78,1575475,$468.595,$469.40,$459.96
11/20/2025,$468.26,1044904,$473.88,$477.43,$465.02
11/19/2025,$469.91,861612,$472.00,$472.42,$468.30
11/18/2025,$474.72,1242107,$475.22,$485.00,$471.1958
11/17/2025,$470.78,1822363,$467.28,$471.60,$464.72
11/14/2025,$465.77,1177328,$455.85,$466.39,$454.00
11/13/2025,$455.85,819819,$458.01,$460.91,$455.10
11/12/2025,$457.04,935756,$456.14,$459.77,$455.2245
11/11/2025,$457.07,1322089,$451.77,$461.77,$451.00
11/10/2025,$452.10,1630052,$456.00,$457.10,$448.48
11/07/2025,$458.35,2514529,$468.90,$469.405,$456.20
11/06/2025,$468.92,1094022,$473.11,$474.18,$466.1147
11/05/2025,$473.14,1708024,$483.02,$485.845,$473.14
11/04/2025,$484.98,1169694,$484.46,$488.50,$481.00
11/03/2025,$487.94,846724,$491.00,$491.51,$484.75
10/31/2025,$491.88,1185204,$489.00,$493.61,$486.0501
10/30/2025,$489.72,1080955,$485.57,$494.46,$485.50
10/29/2025,$485.33,971473,$485.00,$488.817,$483.6662
10/28/2025,$485.77,1220554,$486.37,$489.40,$483.62
10/27/2025,$486.91,1423236,$484.08,$487.31,$479.87
10/24/2025,$485.41,1368445,$490.28,$491.82,$484.075
10/23/2025,$488.05,1446086,$488.12,$493.98,$486.52
10/22/2025,$487.14,1726057,$491.47,$492.4108,$482.54
10/21/2025,$489.50,2869991,$482.71,$506.60,$482.71
10/20/2025,$505.90,1433308,$496.43,$505.90,$496.43
10/17/2025,$495.15,1915507,$490.48,$496.68,$488.10
10/16/2025,$493.25,1099659,$500.74,$501.31,$492.00
10/15/2025,$499.41,1678496,$503.00,$505.00,$485.48
10/14/2025,$505.18,1078265,$501.25,$506.9999,$499.00
10/13/2025,$503.83,926722,$502.30,$507.43,$500.0001
10/10/2025,$505.05,1313768,$508.83,$513.45,$500.54
10/09/2025,$507.76,1185975,$513.89,$515.1912,$503.81
10/08/2025,$514.02,798430,$515.25,$516.00,$511.22
10/07/2025,$511.07,922414,$514.20,$515.98,$509.135
10/06/2025,$514.24,1389696,$506.63,$515.43,$506.63
10/03/2025,$504.49,1006534,$499.42,$506.81,$499.245
10/02/2025,$499.36,915832,$499.24,$503.60,$497.01
10/01/2025,$499.00,1187448,$496.17,$504.07,$495.00
09/30/2025,$499.21,1312722,$492.58,$499.89,$491.14
09/29/2025,$491.98,1391134,$497.00,$498.986,$489.22
09/26/2025,$487.44,914275,$487.91,$490.7499,$484.57
09/25/2025,$484.34,1205694,$489.58,$490.7448,$484.06
09/24/2025,$486.25,1424205,$487.15,$495.24,$485.51
09/23/2025,$486.67,1135459,$480.90,$486.78,$479.34
09/22/2025,$480.39,1410218,$473.67,$482.0745,$473.01
09/19/2025,$472.94,2839217,$474.23,$477.00,$471.38
09/18/2025,$473.62,1108002,$471.12,$474.36,$467.99
09/17/2025,$473.12,1016718,$474.93,$477.1885,$472.635
09/16/2025,$474.32,1156857,$473.59,$478.44,$471.665
