Date,Close/Last,Volume,Open,High,Low
02/03/2026,$88.82,9600167,$86.68,$88.89,$86.68
02/02/2026,$86.33,9423138,$88.14,$88.75,$86.32
01/30/2026,$87.90,10205300,$87.90,$88.29,$86.16
01/29/2026,$88.18,11202430,$88.58,$89.19,$87.64
01/28/2026,$87.57,8200027,$87.72,$88.62,$87.06
01/27/2026,$87.15,15472300,$84.50,$88.96,$83.795
01/26/2026,$85.47,10990610,$85.27,$86.28,$84.84
01/23/2026,$84.81,13302140,$85.25,$85.25,$84.20
01/22/2026,$85.07,9802319,$84.58,$85.51,$83.67
01/21/2026,$83.85,8296598,$84.04,$84.39,$83.2012
01/20/2026,$83.51,10054790,$83.01,$83.93,$82.52
01/16/2026,$83.63,12874870,$83.00,$84.05,$82.14
01/15/2026,$82.19,7419269,$81.98,$82.67,$81.54
01/14/2026,$81.98,10282420,$80.94,$82.63,$80.94
01/13/2026,$81.64,8542992,$81.16,$81.93,$80.415
01/12/2026,$81.12,11088090,$79.845,$81.15,$79.52
01/09/2026,$79.89,5842230,$80.20,$80.92,$79.87
01/08/2026,$79.49,8696735,$78.45,$79.96,$78.38
01/07/2026,$78.37,9859907,$80.67,$80.79,$78.36
01/06/2026,$81.05,7254482,$81.25,$81.59,$80.5046
01/05/2026,$81.32,8301902,$81.16,$81.34,$79.25
01/02/2026,$80.93,8852857,$80.45,$81.02,$79.585
12/31/2025,$80.28,5036195,$80.685,$80.685,$80.205
12/30/2025,$80.53,4075907,$80.20,$80.669,$80.15
12/29/2025,$80.27,5854642,$80.42,$81.25,$80.22
12/26/2025,$80.41,3636427,$80.48,$80.64,$80.0501
12/24/2025,$80.45,3011338,$80.14,$80.47,$79.6901
12/23/2025,$79.79,7874966,$80.03,$80.70,$79.75
12/22/2025,$80.04,7136210,$79.02,$80.1751,$78.72
12/19/2025,$79.54,30492280,$80.57,$81.14,$79.53
12/18/2025,$80.85,9201309,$80.40,$81.175,$80.00
12/17/2025,$80.29,10212040,$80.97,$81.31,$79.65
12/16/2025,$81.32,6616573,$81.64,$81.8462,$80.19
12/15/2025,$81.65,9489842,$82.01,$82.24,$80.53
12/12/2025,$81.65,7783135,$81.84,$82.27,$81.325
12/11/2025,$81.21,9494052,$81.25,$82.41,$81.065
12/10/2025,$81.27,13341140,$80.05,$81.92,$79.64
12/09/2025,$79.64,13760420,$80.80,$81.135,$79.50
12/08/2025,$80.55,18136590,$83.14,$83.16,$80.41
12/05/2025,$83.13,8194564,$83.51,$84.195,$83.06
12/04/2025,$83.39,12489640,$84.52,$84.81,$82.74
12/03/2025,$84.95,9615114,$84.66,$85.97,$84.50
12/02/2025,$84.58,7086954,$84.91,$85.28,$84.2535
12/01/2025,$84.65,7987007,$85.59,$85.67,$84.39
11/28/2025,$86.29,4123323,$85.435,$86.47,$85.15
11/26/2025,$85.54,6550698,$85.25,$85.69,$84.69
11/25/2025,$84.83,7916846,$84.69,$85.34,$84.18
11/24/2025,$84.23,13291480,$83.77,$84.79,$83.01
11/21/2025,$83.48,13930130,$84.18,$84.67,$81.6405
11/20/2025,$84.30,10966990,$84.79,$86.49,$84.20
11/19/2025,$84.27,11138730,$85.12,$85.34,$83.92
11/18/2025,$84.64,11061210,$86.12,$86.69,$84.62
11/17/2025,$85.75,11607950,$83.69,$85.77,$83.69
11/14/2025,$83.88,8352489,$83.51,$84.49,$82.5301
11/13/2025,$83.99,11859270,$85.78,$85.93,$83.93
11/12/2025,$85.89,7604779,$85.43,$86.255,$85.01
11/11/2025,$85.76,11733860,$84.69,$85.83,$84.55
11/10/2025,$84.77,11701680,$84.18,$85.465,$83.69
11/07/2025,$83.93,9167105,$81.91,$84.00,$81.62
11/06/2025,$82.00,6212724,$82.12,$82.965,$81.99
11/05/2025,$82.14,7290988,$81.42,$82.63,$81.11
11/04/2025,$81.69,6474545,$81.78,$82.205,$80.80
11/03/2025,$81.78,8508152,$81.30,$82.095,$80.60
10/31/2025,$81.40,9407303,$81.34,$82.025,$80.8617
10/30/2025,$81.64,7620145,$81.815,$82.5808,$81.44
10/29/2025,$81.76,11681470,$83.30,$83.7912,$81.045
10/28/2025,$83.57,13998070,$87.52,$87.53,$82.91
10/27/2025,$86.03,18741040,$83.985,$87.29,$83.79
10/24/2025,$84.41,6249998,$83.58,$84.7758,$83.36
10/23/2025,$83.25,5630797,$83.89,$83.89,$82.57
10/22/2025,$82.84,9208885,$84.07,$84.22,$82.47
10/21/2025,$83.99,7282198,$85.00,$85.11,$83.03
10/20/2025,$84.77,5225666,$85.19,$85.34,$84.31
10/17/2025,$84.53,9142163,$85.45,$85.82,$84.17
10/16/2025,$85.05,8333744,$86.22,$86.74,$84.975
10/15/2025,$85.79,9268628,$85.07,$86.49,$84.83
10/14/2025,$84.64,8912866,$84.17,$84.84,$83.43
10/13/2025,$84.30,8424314,$83.125,$85.03,$83.0095
10/10/2025,$83.35,10285600,$83.90,$84.83,$83.195
10/09/2025,$83.71,7486115,$84.46,$84.82,$83.45
10/08/2025,$84.04,13775570,$83.70,$84.39,$82.8707
10/07/2025,$83.21,16109690,$83.13,$84.61,$82.41
10/06/2025,$82.11,15767640,$80.145,$82.365,$80.145
10/03/2025,$80.06,12116580,$78.45,$81.365,$77.65
10/02/2025,$78.18,9266552,$78.64,$78.89,$77.535
10/01/2025,$78.67,15044770,$76.325,$78.70,$76.22
09/30/2025,$75.49,9392710,$76.46,$76.70,$75.12
09/29/2025,$76.21,10365970,$75.68,$76.29,$75.27
09/26/2025,$75.85,8271468,$74.73,$75.86,$74.63
09/25/2025,$74.65,12916530,$74.06,$74.91,$73.59
09/24/2025,$73.83,11281750,$72.19,$73.88,$72.0508
09/23/2025,$72.32,7795855,$72.10,$72.62,$71.725
09/22/2025,$72.35,9856721,$71.40,$72.54,$71.27
09/19/2025,$71.08,14819310,$70.98,$71.40,$70.37
09/18/2025,$70.79,8488453,$70.00,$71.0851,$69.3652
09/17/2025,$70.31,10799590,$70.28,$71.01,$70.10
09/16/2025,$69.83,7930212,$71.29,$71.54,$69.765
09/15/2025,$71.50,10399060,$71.58,$72.20,$71.30
09/12/2025,$71.64,9345589,$71.15,$72.49,$70.81
09/11/2025,$71.32,7418268,$70.975,$71.44,$70.51
09/10/2025,$71.04,9254413,$70.00,$71.33,$69.62
09/09/2025,$70.07,7294486,$69.66,$70.315,$69.54
09/08/2025,$69.77,12596530,$70.83,$70.84,$69.24
09/05/2025,$70.90,10067580,$71.25,$71.73,$70.255
09/04/2025,$70.87,14596840,$72.05,$72.50,$70.16
09/03/2025,$71.63,7722299,$72.12,$72.6277,$71.3557
09/02/2025,$72.65,8661508,$72.27,$72.66,$71.49
08/29/2025,$72.05,11280520,$72.40,$72.83,$71.82
08/28/2025,$72.09,10917220,$73.26,$73.48,$71.90
