Date,Close/Last,Volume,Open,High,Low
02/03/2026,$79.94,49789040,$82.23,$82.45,$79.62
02/02/2026,$82.76,41445250,$83.53,$85.27,$82.72
01/30/2026,$83.49,45755030,$83.10,$84.055,$82.78
01/29/2026,$83.16,42278100,$84.31,$84.38,$82.3501
01/28/2026,$84.64,37762610,$85.625,$86.47,$84.295
01/27/2026,$85.58,37790830,$85.275,$85.60,$83.88
01/26/2026,$85.70,40941880,$86.92,$86.94,$85.35
01/23/2026,$86.12,64520380,$83.43,$86.30,$83.28
01/22/2026,$83.54,69113300,$85.02,$85.10,$82.98
01/21/2026,$85.36,127940700,$82.515,$86.00,$81.93
01/20/2026,$87.26,109729700,$88.97,$89.90,$87.02
01/16/2026,$88.00,48130500,$88.335,$88.51,$87.78
01/15/2026,$88.05,36945060,$89.02,$89.89,$87.82
01/14/2026,$88.55,49737700,$91.24,$91.58,$87.95
01/13/2026,$90.32,45221100,$89.44,$91.15,$89.07
01/12/2026,$89.41,36290610,$89.69,$90.335,$89.33
01/09/2026,$89.46,55579520,$90.03,$90.05,$88.32
01/08/2026,$90.53,40068670,$90.45,$91.25,$89.58
01/07/2026,$90.73,36525740,$91.555,$92.419,$90.06
01/06/2026,$90.65,43330970,$91.54,$91.64,$89.74
01/05/2026,$91.46,39183320,$90.92,$92.63,$90.84
01/02/2026,$90.99,41155400,$94.13,$94.13,$90.8104
12/31/2025,$93.76,23495190,$93.60,$94.305,$93.20
12/30/2025,$93.78,23422030,$93.52,$93.9899,$93.34
12/29/2025,$94.15,24493740,$93.99,$94.97,$93.625
12/26/2025,$94.47,22068280,$93.48,$94.685,$93.27
12/24/2025,$93.64,12427900,$93.11,$93.68,$92.665
12/23/2025,$93.50,25896230,$93.395,$93.81,$91.33
12/22/2025,$93.23,39484770,$94.71,$94.71,$92.91
12/19/2025,$94.39,78990150,$93.57,$95.54,$93.45
12/18/2025,$94.00,37244730,$95.02,$95.81,$93.59
12/17/2025,$94.79,50472780,$95.98,$97.33,$94.46
12/16/2025,$94.57,34264990,$93.88,$94.93,$93.32
12/15/2025,$93.77,40016460,$96.015,$96.37,$93.53
12/12/2025,$95.19,49323120,$95.50,$96.92,$94.65
12/11/2025,$94.09,43949010,$93.895,$94.82,$92.76
12/10/2025,$92.71,74129270,$96.735,$96.97,$92.35
12/09/2025,$96.71,51745580,$97.03,$97.24,$95.45
12/08/2025,$96.79,100906300,$99.87,$99.89,$95.30
12/05/2025,$100.24,133363600,$98.775,$104.79,$97.74
12/04/2025,$103.22,51779140,$103.57,$103.80,$101.77
12/03/2025,$103.96,53593400,$106.59,$106.87,$102.03
12/02/2025,$109.35,25762980,$109.205,$109.73,$107.52
12/01/2025,$109.13,24873390,$106.51,$109.335,$106.31
11/28/2025,$107.58,15021610,$106.435,$107.94,$106.24
11/26/2025,$106.14,27951010,$105.74,$106.95,$105.22
11/25/2025,$104.40,35122560,$106.12,$106.30,$103.82
11/24/2025,$106.97,62918290,$104.25,$108.04,$103.32
11/21/2025,$104.31,41232690,$105.13,$106.53,$103.81
11/20/2025,$105.67,36918550,$111.00,$111.10,$105.39
11/19/2025,$110.00,31868090,$113.00,$113.34,$108.61
11/18/2025,$114.09,43440570,$110.29,$115.25,$109.20
11/17/2025,$110.29,26082730,$110.75,$111.85,$109.55
11/14/2025,$111.217,47607130,$114.273,$114.273,$110.721
11/13/2025,$115.423,40143590,$115.85,$116.733,$114.569
11/12/2025,$115.75,39220570,$113.817,$116.434,$112.826
11/11/2025,$113.644,27965940,$111.76,$113.922,$111.28
11/10/2025,$112.007,36929000,$110.6715,$112.82,$110.405
11/07/2025,$110.366,44125340,$109.4175,$110.822,$108.75
11/06/2025,$109.702,36531700,$109.458,$110.37,$108.513
11/05/2025,$109.846,35539170,$108.50,$110.085,$107.337
11/04/2025,$109.296,38717800,$109.999,$110.46,$108.668
11/03/2025,$110.009,58634390,$113.324,$113.35,$107.515
10/31/2025,$111.886,68665000,$110.539,$113.488,$110.198
10/30/2025,$108.90,41580990,$109.44,$110.616,$108.811
10/29/2025,$110.041,33994870,$109.984,$110.855,$109.60
10/28/2025,$110.25,40209010,$109.40,$111.698,$109.3008
10/27/2025,$109.456,46911140,$110.067,$110.228,$108.73
10/24/2025,$109.469,60280250,$111.10,$111.451,$109.441
10/23/2025,$111.359,68497220,$112.69,$112.7829,$109.973
10/22/2025,$111.637,147890300,$114.29,$115.76,$111.251
10/21/2025,$124.135,65082340,$124.283,$124.86,$123.176
10/20/2025,$123.856,39862350,$120.7875,$124.776,$120.69
10/17/2025,$119.936,29571010,$118.36,$120.312,$117.895
10/16/2025,$118.359,28326190,$121.215,$121.671,$117.60
10/15/2025,$120.329,20251940,$121.301,$121.962,$120.161
