Date,Close/Last,Volume,Open,High,Low
02/03/2026,$704.98,942708,$694.20,$707.66,$685.50
02/02/2026,$685.02,1180269,$685.00,$690.47,$675.40
01/30/2026,$692.26,953190,$688.00,$697.67,$681.10
01/29/2026,$695.35,1064621,$695.45,$705.445,$686.05
01/28/2026,$689.13,1222584,$674.46,$690.74,$664.00
01/27/2026,$678.74,1363626,$649.65,$683.01,$636.00
01/26/2026,$660.97,1024553,$670.00,$671.45,$659.11
01/23/2026,$672.95,597948,$674.20,$677.30,$668.51
01/22/2026,$670.44,602166,$661.18,$671.10,$660.00
01/21/2026,$664.16,1011259,$658.97,$669.63,$654.655
01/20/2026,$657.30,1000516,$665.93,$674.75,$653.02
01/16/2026,$666.90,969323,$657.60,$669.68,$657.26
01/15/2026,$654.61,965718,$640.37,$658.41,$632.98
01/14/2026,$653.14,1480940,$625.00,$654.52,$624.855
01/13/2026,$625.50,1153772,$639.16,$639.79,$619.68
01/12/2026,$629.32,1262566,$623.63,$635.76,$623.38
01/09/2026,$618.82,1450100,$590.68,$619.785,$590.68
01/08/2026,$590.79,3608001,$617.88,$638.84,$585.95
01/07/2026,$577.01,1674529,$616.42,$617.99,$574.51
01/06/2026,$610.61,997986,$614.56,$619.20,$606.82
01/05/2026,$611.32,941893,$593.96,$611.37,$591.195
01/02/2026,$585.66,477415,$569.59,$585.85,$564.50
12/31/2025,$570.21,419626,$575.21,$577.00,$570.02
12/30/2025,$574.57,526276,$578.89,$580.12,$574.31
12/29/2025,$577.78,250063,$577.92,$580.7589,$576.88
12/26/2025,$577.37,230390,$582.71,$582.71,$575.4501
12/24/2025,$582.35,202613,$581.23,$587.2911,$581.14
12/23/2025,$580.06,564760,$585.28,$586.00,$576.70
12/22/2025,$584.66,530052,$568.90,$585.28,$568.90
12/19/2025,$568.46,1329782,$558.47,$570.96,$557.975
12/18/2025,$559.52,950163,$564.00,$569.93,$558.06
12/17/2025,$564.19,761812,$562.79,$572.30,$557.59
12/16/2025,$568.72,488152,$573.50,$574.20,$565.84
12/15/2025,$575.79,448889,$569.14,$575.79,$568.571
12/12/2025,$569.76,784474,$563.19,$571.60,$560.50
12/11/2025,$560.04,618246,$557.56,$568.66,$556.93
12/10/2025,$555.36,680045,$549.00,$558.61,$546.52
12/09/2025,$550.63,411023,$554.12,$557.7382,$550.25
12/08/2025,$553.56,706019,$549.00,$553.615,$546.51
12/05/2025,$548.97,785551,$551.50,$552.28,$544.16
12/04/2025,$553.00,753134,$552.84,$560.00,$551.555
12/03/2025,$553.32,889964,$549.56,$554.52,$546.49
12/02/2025,$546.97,779359,$546.68,$551.275,$545.17
12/01/2025,$545.51,795036,$567.73,$568.50,$543.66
11/28/2025,$572.25,421752,$567.35,$573.68,$566.63
11/26/2025,$567.11,445835,$569.61,$582.60,$567.08
11/25/2025,$569.42,919543,$565.70,$574.50,$565.70
11/24/2025,$565.56,731697,$562.92,$566.27,$560.00
11/21/2025,$566.70,943949,$568.28,$571.67,$563.08
11/20/2025,$567.35,688174,$570.88,$573.2632,$563.51
11/19/2025,$565.00,665424,$560.39,$567.20,$557.46
11/18/2025,$566.76,1047053,$565.00,$573.305,$564.175
11/17/2025,$563.03,913005,$559.98,$563.08,$556.29
11/14/2025,$558.00,742576,$557.75,$562.03,$553.365
11/13/2025,$558.00,828402,$563.24,$563.41,$556.84
11/12/2025,$558.57,669774,$565.18,$569.1501,$558.40
11/11/2025,$566.74,743405,$564.48,$570.79,$559.00
11/10/2025,$562.98,1075772,$564.80,$567.06,$557.39
11/07/2025,$568.61,646062,$571.97,$571.97,$562.44
