Date,Close/Last,Volume,Open,High,Low
02/03/2026,$25.77,91964910,$25.36,$26.105,$25.26
02/02/2026,$26.66,52129520,$26.42,$26.685,$26.3534
01/30/2026,$26.44,51599440,$26.13,$26.47,$25.90
01/29/2026,$26.10,44373800,$25.90,$26.23,$25.88
01/28/2026,$25.86,44976690,$26.265,$26.39,$25.755
01/27/2026,$26.50,75575390,$25.94,$26.83,$25.90
01/26/2026,$25.88,41441870,$25.63,$25.92,$25.595
01/23/2026,$25.65,45402330,$25.58,$25.685,$25.51
01/22/2026,$26.10,49883920,$25.90,$26.31,$25.75
01/21/2026,$25.89,47264120,$25.47,$25.92,$25.38
01/20/2026,$25.52,55425390,$25.43,$25.65,$25.089
01/16/2026,$25.65,59470570,$25.89,$25.89,$25.55
01/15/2026,$25.89,55263210,$25.55,$25.89,$25.25
01/14/2026,$25.58,53738090,$25.23,$25.71,$25.2035
01/13/2026,$25.15,47656110,$25.32,$25.39,$24.9746
01/12/2026,$25.27,50256310,$25.575,$25.77,$25.085
01/09/2026,$25.48,34190180,$25.34,$25.55,$25.23
01/08/2026,$25.29,42977330,$25.18,$25.56,$25.12
01/07/2026,$25.28,51395760,$25.59,$25.81,$25.14
01/06/2026,$25.43,50977280,$25.185,$26.005,$25.185
01/05/2026,$25.17,52620900,$25.20,$25.40,$24.95
01/02/2026,$25.18,35976670,$24.98,$25.30,$24.83
12/31/2025,$24.90,29409240,$24.965,$25.02,$24.88
12/30/2025,$24.99,28821740,$25.01,$25.0475,$24.92
12/29/2025,$25.00,33067670,$25.05,$25.20,$24.97
12/26/2025,$25.09,21617810,$25.015,$25.11,$24.92
12/24/2025,$25.03,19328550,$24.92,$25.14,$24.905
12/23/2025,$24.88,43692860,$25.26,$25.34,$24.83
12/22/2025,$25.21,38758870,$25.20,$25.40,$25.13
12/19/2025,$25.19,87589970,$25.01,$25.52,$24.98
12/18/2025,$25.04,47062510,$25.01,$25.225,$24.98
12/17/2025,$25.04,61255280,$25.40,$25.49,$25.03
12/16/2025,$25.53,111695500,$26.44,$26.505,$24.92
12/15/2025,$26.43,60360030,$25.82,$26.65,$25.81
12/12/2025,$25.85,51599710,$25.835,$26.04,$25.72
12/11/2025,$25.80,35570250,$25.80,$26.04,$25.61
12/10/2025,$25.78,43635410,$25.49,$25.79,$25.22
12/09/2025,$25.33,43483810,$26.00,$26.13,$25.13
12/08/2025,$25.77,45209350,$26.04,$26.19,$25.76
12/05/2025,$26.03,47443700,$25.77,$26.12,$25.64
12/04/2025,$25.70,35453970,$25.63,$25.74,$25.35
12/03/2025,$25.57,56121170,$25.32,$25.89,$25.30
12/02/2025,$25.15,43826990,$25.315,$25.315,$25.04
12/01/2025,$25.27,53198560,$25.76,$25.94,$25.2344
11/28/2025,$25.74,22627580,$25.85,$25.86,$25.66
11/26/2025,$25.71,33461050,$25.70,$25.8066,$25.58
11/25/2025,$25.72,39130260,$25.37,$25.97,$25.36
11/24/2025,$25.22,63074950,$25.11,$25.47,$25.045
11/21/2025,$25.04,73079370,$24.585,$25.52,$24.585
11/20/2025,$24.40,51983220,$24.89,$25.00,$24.28
11/19/2025,$24.88,62000200,$25.35,$25.50,$24.72
11/18/2025,$25.45,66511760,$25.05,$25.51,$24.98
11/17/2025,$25.08,88042250,$25.11,$25.57,$24.95
11/14/2025,$25.06,96507650,$25.67,$25.77,$24.97
11/13/2025,$25.79,123083100,$25.94,$26.475,$25.67
11/12/2025,$25.87,96008030,$25.395,$25.945,$25.25
11/11/2025,$25.51,139673800,$24.49,$25.51,$24.4438
11/10/2025,$24.39,148958600,$24.66,$24.885,$23.91
11/07/2025,$24.43,117794500,$24.33,$24.63,$24.1109
11/06/2025,$24.85,124137200,$24.75,$25.13,$24.5432
11/05/2025,$24.61,107240900,$24.38,$24.67,$24.16
11/04/2025,$24.30,166162000,$24.39,$25.20,$24.20
11/03/2025,$24.66,140871300,$24.59,$24.75,$24.405
10/31/2025,$24.65,132697400,$24.28,$24.73,$24.16
10/30/2025,$24.29,157478000,$24.31,$24.70,$24.15
10/29/2025,$24.29,65438430,$24.53,$24.625,$24.23
10/28/2025,$24.50,50152370,$24.78,$24.78,$24.38
10/27/2025,$24.77,34974860,$24.74,$24.795,$24.63
10/24/2025,$24.76,27429170,$24.695,$24.829,$24.68
10/23/2025,$24.67,34219940,$24.76,$24.78,$24.51
10/22/2025,$24.72,48662940,$24.79,$24.93,$24.62
10/21/2025,$24.85,40726920,$24.72,$24.96,$24.60
10/20/2025,$24.69,35856840,$24.57,$24.73,$24.51
10/17/2025,$24.51,40101860,$24.20,$24.53,$24.16
10/16/2025,$24.23,44389990,$24.44,$24.605,$24.21
10/15/2025,$24.39,47729800,$24.49,$24.58,$24.21
10/14/2025,$24.52,42277040,$24.65,$24.79,$24.48
10/13/2025,$24.73,45356620,$24.84,$24.95,$24.61
10/10/2025,$24.78,64963950,$25.26,$25.42,$24.62
10/09/2025,$25.24,47278670,$25.78,$25.90,$25.21
10/08/2025,$25.68,48693340,$26.42,$26.50,$25.63
10/07/2025,$26.27,47744190,$26.42,$26.58,$26.05
10/06/2025,$26.43,62945610,$27.27,$27.36,$26.3913
10/03/2025,$27.37,70524010,$27.20,$27.69,$27.035
10/02/2025,$27.08,69684070,$26.93,$27.17,$26.62
10/01/2025,$27.21,150879900,$25.97,$27.45,$25.58
09/30/2025,$25.48,164867300,$23.85,$25.63,$23.81
09/29/2025,$23.85,39184350,$23.79,$23.86,$23.64
09/26/2025,$23.76,33374530,$23.73,$23.81,$23.61
09/25/2025,$23.60,56738260,$24.09,$24.15,$23.58
09/24/2025,$24.09,39669360,$24.17,$24.18,$23.98
09/23/2025,$24.13,38955250,$24.10,$24.36,$24.05
09/22/2025,$24.04,67863310,$24.28,$24.80,$24.03
09/19/2025,$24.03,86577630,$24.25,$24.25,$23.815
09/18/2025,$24.15,34418980,$24.05,$24.24,$23.955
09/17/2025,$24.05,46351610,$23.98,$24.39,$23.90
09/16/2025,$23.90,57010790,$23.96,$24.22,$23.87
09/15/2025,$23.97,50760170,$23.99,$24.12,$23.68
09/12/2025,$23.87,81378230,$24.81,$24.84,$23.84
09/11/2025,$24.86,36784140,$24.60,$24.86,$24.54
09/10/2025,$24.57,32975900,$24.64,$24.65,$24.45
09/09/2025,$24.71,32751310,$24.55,$24.79,$24.51
09/08/2025,$24.55,49242870,$24.90,$24.965,$24.31
09/05/2025,$24.88,34613230,$24.57,$24.89,$24.505
09/04/2025,$24.54,41695510,$24.78,$24.78,$24.35
09/03/2025,$24.79,30957580,$24.88,$25.12,$24.72
09/02/2025,$24.98,44724980,$24.73,$25.065,$24.71
08/29/2025,$24.76,37029980,$24.68,$24.88,$24.511
08/28/2025,$24.60,44306850,$25.07,$25.07,$24.51
08/27/2025,$25.07,31840310,$25.01,$25.17,$24.85
08/26/2025,$24.92,43938720,$25.14,$25.24,$24.87
08/25/2025,$25.14,32684210,$25.88,$25.89,$25.11
08/22/2025,$25.88,34560470,$25.90,$26.11,$25.76
08/21/2025,$25.74,37068080,$25.41,$25.885,$25.37
08/20/2025,$25.38,38111020,$25.39,$25.69,$25.34
08/19/2025,$25.32,29170500,$25.14,$25.43,$25.10
08/18/2025,$25.07,35623340,$25.14,$25.23,$25.01
08/15/2025,$25.14,31844850,$25.22,$25.30,$24.97
08/14/2025,$25.11,32513970,$25.09,$25.18,$24.815
08/13/2025,$25.16,40176490,$24.745,$25.195,$24.743
08/12/2025,$24.65,34412630,$24.655,$24.7684,$24.47
08/11/2025,$24.58,38115710,$24.60,$24.92,$24.53
08/08/2025,$24.58,36376970,$24.29,$24.61,$24.16
08/07/2025,$24.23,45494360,$24.17,$24.47,$23.94
08/06/2025,$23.93,65689180,$24.68,$24.71,$23.86
08/05/2025,$24.75,113955100,$24.27,$24.89,$24.27
08/04/2025,$23.53,57010740,$23.44,$23.68,$23.40
08/01/2025,$23.49,51332710,$23.30,$23.52,$23.11
07/31/2025,$23.29,62768330,$23.60,$23.84,$23.14
07/30/2025,$23.81,35649550,$24.32,$24.395,$23.795
07/29/2025,$24.30,38499830,$24.31,$24.33,$23.93
07/28/2025,$24.31,31096630,$24.675,$24.73,$24.235
07/25/2025,$24.79,35643440,$24.97,$24.97,$24.62
07/24/2025,$25.35,25672380,$25.39,$25.54,$25.26
07/23/2025,$25.36,42073290,$25.38,$25.53,$25.25
07/22/2025,$25.14,48091580,$24.37,$25.14,$24.34
07/21/2025,$24.26,33663380,$24.59,$24.65,$24.255
07/18/2025,$24.47,36309400,$24.71,$24.78,$24.39
07/17/2025,$24.58,47393880,$24.49,$24.78,$24.45
07/16/2025,$24.61,44218210,$24.675,$24.96,$24.53
07/15/2025,$24.61,54457960,$25.335,$25.44,$24.53
07/14/2025,$25.35,25918050,$25.58,$25.63,$25.34
07/11/2025,$25.65,34864400,$25.65,$25.715,$25.42
07/10/2025,$25.78,39499240,$25.58,$26.05,$25.535
07/09/2025,$25.56,38362230,$25.69,$25.8399,$25.34
07/08/2025,$25.62,51275810,$25.24,$25.96,$25.21
07/07/2025,$25.24,34905920,$25.36,$25.53,$25.14
07/03/2025,$25.38,27104580,$25.35,$25.52,$25.2212
07/02/2025,$25.32,36772090,$25.13,$25.36,$25.025
07/01/2025,$25.04,59259860,$24.275,$25.35,$24.26
06/30/2025,$24.24,44730910,$24.21,$24.38,$24.12
06/27/2025,$24.19,39528750,$24.35,$24.42,$24.08
06/26/2025,$24.24,31835340,$24.315,$24.43,$24.16
06/25/2025,$24.26,25603320,$24.21,$24.37,$24.07
06/24/2025,$24.31,34404160,$24.14,$24.40,$24.11
06/23/2025,$24.03,31959080,$23.87,$24.085,$23.765
06/20/2025,$23.97,63098140,$24.00,$24.09,$23.77
06/18/2025,$23.88,37076210,$23.96,$24.08,$23.77
06/17/2025,$24.00,40408780,$24.27,$24.32,$23.91
06/16/2025,$24.40,35102140,$24.50,$24.59,$24.28
06/13/2025,$24.54,46368360,$24.785,$24.95,$24.46
06/12/2025,$24.84,42465420,$24.53,$24.88,$24.53
06/11/2025,$24.48,38558670,$24.33,$24.69,$24.32
06/10/2025,$24.30,40439210,$23.97,$24.42,$23.96
06/09/2025,$23.97,42542640,$23.44,$24.14,$23.42
06/06/2025,$23.35,30426240,$23.27,$23.58,$23.245
06/05/2025,$23.12,33199870,$23.44,$23.44,$23.08
06/04/2025,$23.39,24500120,$23.41,$23.54,$23.35
06/03/2025,$23.35,37887100,$23.38,$23.54,$23.06
06/02/2025,$23.46,30443930,$23.54,$23.56,$23.2219
05/30/2025,$23.49,56618550,$23.48,$23.62,$23.16
05/29/2025,$23.45,26210100,$23.325,$23.45,$23.16
05/28/2025,$23.18,36737180,$23.61,$23.635,$23.11
05/27/2025,$23.61,36155380,$23.55,$23.66,$23.365
05/23/2025,$23.32,35405390,$22.95,$23.39,$22.88
05/22/2025,$23.04,38602840,$23.04,$23.16,$22.81
05/21/2025,$23.04,42984720,$23.47,$23.48,$23.04
05/20/2025,$23.52,57047500,$23.17,$23.70,$23.155
05/19/2025,$23.00,31513690,$22.74,$23.03,$22.6401
05/16/2025,$22.83,37786790,$22.65,$22.845,$22.45
05/15/2025,$22.60,51800090,$22.20,$22.60,$22.09
05/14/2025,$22.02,59393960,$22.86,$22.90,$21.97
05/13/2025,$22.87,41193230,$22.90,$22.98,$22.49
05/12/2025,$23.09,77480930,$22.23,$23.15,$22.18
05/09/2025,$22.28,39059760,$22.51,$22.60,$22.26
05/08/2025,$22.97,55669820,$22.82,$23.09,$22.51
05/07/2025,$22.79,48369890,$22.99,$23.085,$22.72
05/06/2025,$22.88,60872640,$23.83,$23.89,$22.845
05/05/2025,$23.87,40811810,$24.20,$24.25,$23.85
05/02/2025,$24.20,41685760,$24.275,$24.30,$23.97
05/01/2025,$23.93,46891740,$24.30,$24.325,$23.80
04/30/2025,$24.41,53941720,$24.195,$24.44,$23.98
04/29/2025,$23.79,98540190,$22.83,$24.12,$22.46
04/28/2025,$23.05,55888880,$23.03,$23.29,$22.90
04/25/2025,$22.92,35847680,$22.77,$23.105,$22.475
04/24/2025,$22.78,35009620,$22.40,$22.855,$22.23
04/23/2025,$22.39,50781010,$22.78,$23.055,$22.235
04/22/2025,$22.53,36052600,$22.175,$22.5454,$22.145
04/21/2025,$22.04,32021010,$22.125,$22.17,$21.87
04/17/2025,$22.14,54073680,$22.15,$22.55,$22.10
04/16/2025,$22.04,37641160,$22.49,$22.68,$21.95
04/15/2025,$22.44,51814670,$22.17,$22.93,$22.125
04/14/2025,$22.12,61900900,$22.08,$22.23,$21.87
04/11/2025,$21.91,55078090,$21.59,$22.00,$21.2849
04/10/2025,$21.59,72960680,$22.26,$22.27,$21.085
04/09/2025,$22.49,95954380,$21.11,$22.5369,$20.915
04/08/2025,$21.84,72406020,$22.90,$22.99,$21.44
04/07/2025,$22.63,86106060,$22.14,$23.155,$21.75
04/04/2025,$22.97,80002590,$23.94,$24.10,$22.95
04/03/2025,$24.29,53501840,$24.74,$24.87,$24.28
04/02/2025,$24.70,41964970,$24.50,$24.735,$24.31
04/01/2025,$24.54,54444200,$25.29,$25.345,$24.52
03/31/2025,$25.34,53498110,$24.80,$25.425,$24.61
03/28/2025,$25.21,32352550,$25.03,$25.22,$24.81
03/27/2025,$25.01,51302020,$25.20,$25.23,$24.83
03/26/2025,$25.21,49578890,$25.52,$25.65,$25.125
03/25/2025,$25.55,47607590,$26.16,$26.20,$25.51
03/24/2025,$26.14,37944360,$26.10,$26.22,$25.89
03/21/2025,$26.28,349996500,$26.13,$26.52,$26.01
03/20/2025,$26.19,35378940,$26.245,$26.295,$26.015
03/19/2025,$26.21,42522710,$26.33,$26.50,$26.08
03/18/2025,$26.31,32958720,$26.21,$26.40,$26.10
03/17/2025,$26.05,32676850,$25.74,$26.15,$25.585
03/14/2025,$25.72,30298340,$25.62,$25.76,$25.495
03/13/2025,$25.60,36717860,$25.76,$26.07,$25.53
03/12/2025,$25.71,37331040,$25.935,$25.97,$25.50
03/11/2025,$25.99,44841410,$26.57,$26.62,$25.87
03/10/2025,$26.64,53013460,$26.64,$27.24,$26.54
03/07/2025,$26.73,54337680,$26.40,$26.885,$26.18
03/06/2025,$26.24,46998310,$25.93,$26.4562,$25.90
03/05/2025,$25.94,37062360,$25.70,$26.1799,$25.6601
03/04/2025,$25.75,51315030,$26.25,$26.31,$25.67
03/03/2025,$26.25,54048600,$26.37,$26.895,$25.97
02/28/2025,$26.43,51531750,$26.055,$26.49,$25.91
02/27/2025,$26.10,28268280,$26.285,$26.50,$26.0109
02/26/2025,$26.42,30103280,$26.68,$26.78,$26.35
02/25/2025,$26.74,43560140,$26.72,$27.03,$26.54
02/24/2025,$26.65,43823330,$26.40,$26.74,$25.88
02/21/2025,$26.30,54611480,$25.89,$26.57,$25.845
02/20/2025,$25.90,37138960,$25.86,$26.08,$25.75
02/19/2025,$25.89,37292370,$25.57,$25.915,$25.50
02/18/2025,$25.56,40499740,$25.605,$25.74,$25.42
02/14/2025,$25.53,33214610,$25.73,$25.83,$25.47
02/13/2025,$25.64,30612530,$25.49,$25.74,$25.33
02/12/2025,$25.47,31671610,$25.475,$25.615,$25.17
02/11/2025,$25.53,36593280,$25.83,$25.91,$25.46
02/10/2025,$25.87,39632710,$25.78,$26.12,$25.51
02/07/2025,$25.74,36512820,$25.86,$25.9599,$25.53
02/06/2025,$25.83,45182010,$26.42,$26.47,$25.78
02/05/2025,$26.44,50426780,$25.95,$26.69,$25.70
