Date,Close/Last,Volume,Open,High,Low
02/03/2026,$284.18,10809130,$284.70,$288.09,$278.60
02/02/2026,$285.59,8664194,$286.02,$290.40,$282.28
01/30/2026,$286.93,12022200,$292.10,$292.95,$284.70
01/29/2026,$292.29,13456390,$294.33,$295.60,$289.22
01/28/2026,$294.02,23396870,$283.72,$294.9399,$283.72
01/27/2026,$282.70,65836930,$293.97,$299.50,$280.40
01/26/2026,$351.64,10399470,$353.95,$354.79,$347.27
01/23/2026,$356.26,9082197,$354.275,$357.87,$352.99
01/22/2026,$354.47,7491394,$347.18,$354.95,$346.77
01/21/2026,$347.75,8933337,$339.43,$348.0799,$338.69
01/20/2026,$338.43,7596497,$327.40,$339.89,$326.5031
01/16/2026,$331.02,8039139,$334.86,$336.20,$330.43
01/15/2026,$338.96,6943513,$335.20,$339.45,$328.06
01/14/2026,$334.96,5740921,$335.37,$340.11,$334.10
01/13/2026,$333.93,5605928,$341.50,$341.8439,$332.85
01/12/2026,$340.51,7146356,$341.42,$342.65,$333.94
01/09/2026,$343.98,4129132,$347.25,$349.055,$342.48
01/08/2026,$346.85,5059271,$341.01,$347.90,$340.80
01/07/2026,$341.70,7461438,$348.98,$350.11,$338.04
01/06/2026,$348.97,9441893,$348.35,$352.61,$345.12
01/05/2026,$342.02,7956616,$335.45,$346.9399,$333.85
01/02/2026,$336.40,6863568,$330.895,$340.2578,$327.50
12/31/2025,$330.11,4285205,$332.32,$333.33,$329.88
12/30/2025,$332.16,4432488,$329.73,$336.15,$329.51
12/29/2025,$328.94,4346789,$330.89,$334.25,$328.28
12/26/2025,$331.83,4359289,$327.20,$331.89,$326.2625
12/24/2025,$327.58,2842681,$325.20,$328.99,$324.13
12/23/2025,$324.80,4463292,$324.00,$327.7999,$323.76
12/22/2025,$325.16,7872420,$322.90,$329.80,$321.65
12/19/2025,$327.42,10552980,$328.06,$334.60,$326.07
12/18/2025,$328.14,6354947,$328.93,$330.18,$324.57
12/17/2025,$331.63,4685579,$333.61,$335.52,$330.48
12/16/2025,$334.20,6334030,$340.42,$340.99,$331.0301
12/15/2025,$341.10,6447186,$340.99,$344.96,$337.00
12/12/2025,$341.84,7978995,$337.50,$344.98,$337.37
12/11/2025,$336.73,7513165,$330.37,$339.25,$328.76
12/10/2025,$328.37,5910546,$322.75,$328.73,$319.60
12/09/2025,$323.60,4628440,$323.16,$326.36,$322.48
12/08/2025,$323.62,4782815,$328.70,$329.10,$322.83
12/05/2025,$330.91,5905996,$335.00,$335.71,$328.51
12/04/2025,$333.49,8061622,$339.40,$341.26,$328.72
12/03/2025,$339.71,9769961,$326.00,$341.405,$325.01
12/02/2025,$324.54,7978098,$323.37,$328.70,$322.80
12/01/2025,$323.21,6154560,$327.16,$330.06,$323.03
11/28/2025,$329.77,2464462,$331.67,$332.06,$328.89
11/26/2025,$329.71,5504205,$326.59,$335.19,$325.89
11/25/2025,$326.28,6149110,$321.12,$328.00,$320.904
11/24/2025,$319.05,10773810,$324.525,$325.846,$317.62
11/21/2025,$319.97,8406306,$311.91,$323.835,$311.44
11/20/2025,$311.54,7337568,$310.81,$314.745,$310.00
11/19/2025,$309.09,8181075,$313.93,$315.00,$304.53
11/18/2025,$313.58,9182145,$317.01,$317.50,$308.77
11/17/2025,$320.52,6485370,$320.60,$327.88,$319.43
11/14/2025,$321.86,8676498,$326.95,$328.2121,$320.49
11/13/2025,$332.52,7788683,$338.35,$339.03,$331.29
11/12/2025,$339.06,10403260,$328.45,$343.17,$327.0846
11/11/2025,$327.45,7157796,$323.30,$327.8599,$319.88
11/10/2025,$321.58,9283842,$319.99,$324.25,$317.17
11/07/2025,$324.21,9402873,$319.655,$324.55,$314.16
11/06/2025,$321.56,7922131,$328.92,$332.365,$321.45
11/05/2025,$327.74,9697089,$326.30,$330.2055,$324.22
11/04/2025,$330.83,9646591,$327.63,$336.50,$327.20
11/03/2025,$333.79,11181380,$339.13,$340.70,$326.60
10/31/2025,$341.56,8390831,$344.39,$346.28,$337.12
10/30/2025,$344.75,11441930,$347.515,$354.54,$343.60
10/29/2025,$355.26,11874950,$364.28,$366.15,$353.88
10/28/2025,$367.84,18858690,$380.68,$381.00,$358.633
10/27/2025,$365.98,7766441,$363.50,$366.22,$361.40
10/24/2025,$362.50,5462101,$361.37,$365.42,$360.025
10/23/2025,$360.45,5756666,$355.58,$362.28,$353.6415
10/22/2025,$361.49,7833031,$363.96,$364.00,$358.00
10/21/2025,$365.37,6885288,$365.14,$371.05,$361.50
10/20/2025,$364.48,5996541,$358.54,$365.57,$357.5101
10/17/2025,$356.60,8608378,$351.00,$358.39,$350.83
10/16/2025,$356.67,5872116,$361.84,$362.00,$354.40
10/15/2025,$361.15,6579630,$359.39,$364.22,$355.85
10/14/2025,$359.93,5974813,$354.95,$362.33,$353.4001
10/13/2025,$358.66,5659400,$354.74,$359.16,$353.32
10/10/2025,$354.50,13141910,$369.40,$369.40,$352.51
10/09/2025,$367.69,8759801,$372.52,$376.22,$366.08
10/08/2025,$369.92,9438333,$366.93,$374.63,$365.80
10/07/2025,$363.66,7236242,$359.41,$364.72,$358.06
10/06/2025,$358.77,7181663,$361.025,$362.52,$357.11
10/03/2025,$360.20,13494790,$357.25,$368.00,$356.61
10/02/2025,$353.72,8564187,$347.29,$355.08,$344.65
10/01/2025,$348.30,8825487,$343.90,$348.70,$341.63
09/30/2025,$345.30,7429653,$343.75,$349.32,$342.33
09/29/2025,$345.18,6878937,$343.98,$345.5499,$341.45
09/26/2025,$344.08,6774710,$347.93,$349.97,$341.30
09/25/2025,$345.56,8104859,$348.90,$350.19,$343.60
09/24/2025,$351.81,9016256,$350.20,$354.50,$347.84
09/23/2025,$347.69,12504060,$341.00,$352.70,$339.9611
09/22/2025,$341.30,8903744,$334.46,$342.48,$332.60
09/19/2025,$336.69,13656840,$336.50,$340.959,$333.84
09/18/2025,$334.82,11255560,$343.53,$344.93,$334.12
09/17/2025,$341.61,8467682,$337.69,$343.00,$337.69
09/16/2025,$339.78,12695820,$347.50,$349.0358,$338.32
09/15/2025,$347.89,11035850,$351.255,$351.71,$342.53
09/12/2025,$352.51,14016240,$355.90,$362.31,$352.46
09/11/2025,$353.61,18943510,$349.00,$360.98,$345.84
09/10/2025,$346.78,17804300,$345.56,$348.57,$341.40
09/09/2025,$347.92,46408870,$332.50,$351.7099,$327.16
09/08/2025,$320.25,18438640,$319.71,$321.65,$313.8001
09/05/2025,$315.39,14126710,$310.44,$317.94,$308.20
09/04/2025,$310.38,7725742,$306.10,$311.914,$304.10
09/03/2025,$307.88,9654569,$308.11,$309.59,$303.70
09/02/2025,$308.80,10957140,$308.305,$312.89,$307.30
08/29/2025,$309.87,12065370,$302.30,$310.00,$300.91
08/28/2025,$302.29,11234950,$304.25,$304.47,$299.40
08/27/2025,$303.88,9982781,$300.54,$305.97,$300.50
08/26/2025,$300.43,16303190,$304.31,$308.96,$294.2001
08/25/2025,$304.86,8917077,$308.49,$308.87,$302.73
08/22/2025,$307.42,14930050,$306.10,$310.68,$304.58
08/21/2025,$303.35,13358960,$302.29,$306.5664,$297.80
08/20/2025,$299.84,16678990,$306.395,$307.20,$295.70
08/19/2025,$304.24,22348570,$308.90,$310.50,$299.21
08/18/2025,$308.49,39600510,$313.175,$316.3999,$307.42
08/15/2025,$304.01,68198480,$301.71,$310.30,$294.71
08/14/2025,$271.49,25011100,$272.095,$273.85,$267.00
08/13/2025,$271.81,19480260,$264.39,$272.1875,$262.89
08/12/2025,$261.57,12207660,$254.02,$262.88,$253.6661
08/11/2025,$252.37,11779540,$253.87,$258.40,$252.14
08/08/2025,$250.89,10185750,$244.79,$251.08,$244.37
08/07/2025,$244.67,11369900,$246.42,$248.7457,$239.50
08/06/2025,$245.78,12946450,$250.64,$253.1599,$245.31
08/05/2025,$251.00,23795860,$241.16,$252.0699,$240.05
08/04/2025,$240.98,17427930,$238.24,$242.25,$236.9526
08/01/2025,$237.77,39989180,$250.61,$251.49,$234.60
07/31/2025,$249.56,29606860,$261.40,$261.40,$247.75
07/30/2025,$266.04,22371770,$264.80,$266.63,$258.1213
07/29/2025,$261.07,41706030,$265.70,$272.91,$260.55
07/28/2025,$282.12,15779350,$283.50,$285.00,$279.69
07/25/2025,$281.06,16486620,$281.00,$286.14,$279.94
07/24/2025,$278.58,22585190,$283.10,$289.21,$278.22
07/23/2025,$292.51,13111100,$287.50,$292.64,$284.95
07/22/2025,$285.13,14600340,$282.63,$287.11,$282.00
07/21/2025,$282.14,10319210,$284.64,$286.50,$281.20
07/18/2025,$282.65,14979710,$287.89,$288.07,$280.81
07/17/2025,$288.07,14792730,$292.33,$293.00,$283.83
07/16/2025,$292.49,9713979,$292.55,$295.99,$290.75
07/15/2025,$291.71,16019020,$299.71,$300.68,$291.03
07/14/2025,$300.58,10681440,$301.64,$304.04,$299.00
07/11/2025,$304.10,9808227,$300.02,$304.12,$298.00
07/10/2025,$299.51,11355630,$303.06,$304.93,$296.60
07/09/2025,$302.91,12816660,$303.19,$303.60,$298.75
07/08/2025,$307.70,9613844,$304.225,$308.2999,$303.80
07/07/2025,$303.71,9031224,$308.00,$308.605,$301.20
07/03/2025,$308.55,6161145,$309.84,$312.25,$308.23
07/02/2025,$307.56,18177190,$320.735,$322.42,$306.4301
