Date,Close/Last,Volume,Open,High,Low
02/03/2026,$127.71,32018680,$123.65,$128.165,$123.65
02/02/2026,$124.06,31210060,$119.50,$124.20,$119.05
01/30/2026,$119.14,22215390,$116.905,$119.41,$116.60
01/29/2026,$117.41,16381110,$116.45,$117.655,$116.07
01/28/2026,$116.57,16342000,$116.635,$117.4567,$115.865
01/27/2026,$116.94,22968630,$117.50,$117.63,$115.48
01/26/2026,$117.64,19552230,$117.81,$118.85,$117.39
01/23/2026,$117.73,20806910,$118.17,$118.61,$117.1363
01/22/2026,$117.83,24547330,$119.29,$119.52,$117.65
01/21/2026,$119.36,34811700,$118.075,$120.49,$117.545
01/20/2026,$118.71,45333980,$120.89,$121.62,$117.61
01/16/2026,$119.70,415144600,$118.67,$120.60,$116.90
01/15/2026,$119.20,34559430,$119.98,$120.87,$118.73
01/14/2026,$120.04,32764040,$120.19,$121.235,$119.03
01/13/2026,$120.36,31222060,$117.89,$120.51,$117.73
01/12/2026,$117.97,49182080,$117.50,$118.84,$116.4115
01/09/2026,$114.53,21902860,$112.255,$115.455,$112.255
01/08/2026,$113.07,24058260,$111.29,$113.47,$109.8124
01/07/2026,$112.72,23306000,$114.185,$114.73,$112.10
01/06/2026,$114.34,20120820,$112.40,$114.79,$111.99
01/05/2026,$112.71,19557620,$112.82,$113.73,$112.1483
01/02/2026,$112.76,14306560,$111.425,$112.79,$111.12
12/31/2025,$111.41,11487430,$111.73,$112.25,$111.315
12/30/2025,$111.92,11730590,$111.89,$112.69,$111.835
12/29/2025,$112.53,12979570,$111.59,$112.78,$111.57
12/26/2025,$111.74,9003791,$111.72,$111.97,$111.36
12/24/2025,$111.61,9009629,$110.90,$111.71,$110.55
12/23/2025,$110.90,20319920,$111.99,$112.349,$110.70
12/22/2025,$112.60,21473910,$114.01,$114.32,$112.22
12/19/2025,$114.36,50043760,$115.135,$115.28,$113.525
12/18/2025,$114.83,21476680,$115.01,$116.48,$114.61
12/17/2025,$115.66,16177750,$115.20,$116.3897,$115.07
12/16/2025,$115.42,19642350,$116.575,$116.88,$114.95
12/15/2025,$116.79,18713740,$116.925,$117.45,$115.64
12/12/2025,$116.70,19092410,$115.26,$116.95,$115.02
12/11/2025,$115.52,21586640,$113.14,$115.87,$112.85
12/10/2025,$113.18,22859580,$115.35,$116.23,$112.99
12/09/2025,$115.06,24326690,$113.95,$115.72,$113.021
12/08/2025,$113.56,22700750,$114.57,$114.99,$112.30
12/05/2025,$115.11,23956430,$114.73,$116.27,$114.675
12/04/2025,$114.84,25905150,$113.62,$114.885,$113.1631
12/03/2025,$114.41,24478280,$112.50,$114.89,$112.221
12/02/2025,$112.41,18711770,$111.47,$112.6475,$110.79
12/01/2025,$111.53,17236750,$110.51,$111.755,$110.36
11/28/2025,$110.51,9846525,$109.30,$110.70,$109.00
11/26/2025,$109.10,17783280,$107.20,$109.59,$107.17
11/25/2025,$107.00,20212880,$104.61,$107.42,$104.23
11/24/2025,$104.06,42519160,$105.36,$106.27,$103.76
11/21/2025,$105.32,41420780,$107.98,$108.15,$104.7244
11/20/2025,$107.11,50375920,$103.94,$107.91,$102.68
11/19/2025,$100.61,22157030,$101.58,$101.7101,$99.68
11/18/2025,$101.39,17604460,$102.98,$103.3428,$101.38
11/17/2025,$102.95,15289370,$102.58,$103.315,$102.1001
11/14/2025,$102.48,23424210,$100.20,$102.49,$98.88
11/13/2025,$102.54,18088510,$103.59,$103.93,$102.02
11/12/2025,$103.44,12084410,$103.35,$103.5981,$102.663
11/11/2025,$103.44,13182140,$102.50,$103.74,$102.32
11/10/2025,$102.42,14507600,$102.15,$102.665,$101.602
11/07/2025,$102.59,17248720,$102.13,$102.97,$101.73
11/06/2025,$101.68,14866030,$101.34,$101.93,$100.03
11/05/2025,$101.47,13356820,$101.74,$102.675,$100.85
11/04/2025,$102.27,12636350,$102.13,$102.62,$101.46
11/03/2025,$101.59,14811690,$100.815,$101.80,$100.40
10/31/2025,$101.18,20237020,$101.70,$102.095,$100.18
10/30/2025,$102.23,14065080,$102.20,$103.37,$101.96
10/29/2025,$102.46,11986410,$102.905,$103.67,$102.11
10/28/2025,$103.17,13322990,$104.06,$104.14,$103.05
10/27/2025,$104.47,16375860,$106.34,$106.36,$104.15
10/24/2025,$106.17,10317960,$107.07,$107.165,$105.51
10/23/2025,$106.86,11408240,$107.35,$107.57,$105.78
10/22/2025,$107.14,12296490,$106.55,$107.765,$105.655
10/21/2025,$106.22,10899730,$107.33,$107.48,$106.18
10/20/2025,$107.05,10581220,$107.85,$108.25,$106.61
10/17/2025,$107.73,13735590,$107.17,$108.20,$106.22
10/16/2025,$106.47,16366170,$109.20,$109.575,$105.66
10/15/2025,$109.03,21416290,$107.32,$109.555,$107.30
10/14/2025,$107.21,30859500,$104.05,$107.92,$102.8921
10/13/2025,$102.12,10871180,$101.37,$102.45,$101.07
10/10/2025,$101.84,18519440,$102.05,$103.6291,$101.52
10/09/2025,$101.77,19508020,$103.13,$103.45,$100.37
10/08/2025,$102.90,13584080,$103.02,$103.26,$102.15
10/07/2025,$103.24,15538860,$102.38,$103.25,$100.95
10/06/2025,$102.70,13303560,$101.88,$103.065,$101.58
10/03/2025,$102.07,11867480,$101.46,$102.815,$101.20
10/02/2025,$101.70,15605360,$101.45,$102.135,$99.87
10/01/2025,$101.96,16142770,$102.56,$102.86,$100.55
09/30/2025,$103.06,13873390,$103.00,$103.935,$102.72
09/29/2025,$103.08,15477160,$103.05,$103.31,$102.075
09/26/2025,$103.16,11859270,$102.875,$103.49,$102.47
09/25/2025,$103.05,13366750,$103.215,$103.51,$102.58
09/24/2025,$102.73,11391830,$103.04,$103.47,$102.475
09/23/2025,$102.52,13158660,$102.41,$102.68,$101.33
09/22/2025,$102.82,12861950,$102.45,$103.20,$101.9211
09/19/2025,$102.33,34791570,$103.81,$103.94,$102.09
09/18/2025,$103.60,14869390,$103.78,$104.635,$102.12
09/17/2025,$104.27,25382020,$103.73,$106.11,$103.73
09/16/2025,$103.42,14481860,$103.85,$104.21,$103.13
09/15/2025,$103.69,10756880,$103.65,$103.98,$103.405
09/12/2025,$103.49,11641930,$102.535,$103.975,$102.36
09/11/2025,$102.65,15900790,$100.99,$102.775,$100.28
09/10/2025,$100.41,17934870,$101.95,$102.4499,$100.39
09/09/2025,$102.29,11819660,$102.00,$102.49,$101.55
09/08/2025,$102.28,13685740,$100.85,$102.36,$100.42
09/05/2025,$100.51,13748450,$101.08,$101.48,$99.55
09/04/2025,$100.93,15640900,$99.91,$101.35,$99.65
09/03/2025,$99.44,18995910,$97.85,$99.44,$97.50
09/02/2025,$97.85,15351290,$97.23,$97.85,$96.51
08/29/2025,$96.98,15600270,$96.10,$97.025,$95.795
08/28/2025,$96.11,19241630,$96.00,$96.57,$95.70
08/27/2025,$96.08,12925660,$95.90,$96.315,$95.60
08/26/2025,$96.05,22270350,$96.275,$96.47,$95.42
08/25/2025,$96.07,18956140,$97.00,$97.58,$96.07
08/22/2025,$96.83,32695180,$98.065,$99.05,$96.76
08/21/2025,$97.96,51825050,$99.41,$99.45,$96.95
08/20/2025,$102.57,18655030,$101.15,$102.65,$100.93
08/19/2025,$101.29,16999000,$100.96,$102.43,$100.80
08/18/2025,$100.70,11656140,$100.00,$100.875,$99.915
08/15/2025,$100.00,13604940,$100.63,$100.77,$99.5402
08/14/2025,$100.85,10858450,$101.22,$101.44,$100.72
08/13/2025,$100.99,19398500,$102.15,$102.805,$100.85
08/12/2025,$103.62,17919330,$104.25,$104.31,$103.37
08/11/2025,$103.93,12856710,$103.90,$104.33,$103.11
08/08/2025,$103.73,12394720,$103.37,$104.72,$103.15
08/07/2025,$103.12,12509480,$103.46,$103.90,$102.11
08/06/2025,$103.36,23738420,$99.46,$103.685,$99.46
08/05/2025,$99.31,17977010,$99.67,$100.47,$98.91
08/04/2025,$99.59,19050210,$98.20,$99.91,$98.20
08/01/2025,$98.49,16750410,$98.00,$98.83,$97.6705
07/31/2025,$97.98,15651350,$97.44,$98.63,$97.31
07/30/2025,$97.59,13864100,$98.61,$98.88,$97.29
07/29/2025,$98.33,14034270,$97.78,$98.72,$97.34
07/28/2025,$97.61,12293060,$97.28,$98.125,$97.075
07/25/2025,$97.47,12868470,$96.84,$97.65,$96.53
07/24/2025,$96.60,14991520,$95.57,$96.955,$95.35
07/23/2025,$95.68,9729672,$96.01,$96.29,$95.29
07/22/2025,$95.85,9049130,$95.84,$96.67,$95.74
07/21/2025,$95.67,13450360,$95.255,$96.64,$95.10
07/18/2025,$95.05,14636290,$95.085,$95.4801,$94.43
07/17/2025,$95.09,11165130,$95.075,$95.63,$94.89
07/16/2025,$95.15,11181550,$95.415,$95.8296,$94.605
07/15/2025,$95.39,10450760,$95.60,$95.78,$94.935
07/14/2025,$95.78,13779080,$94.51,$95.84,$94.38
07/11/2025,$94.40,14595050,$95.005,$95.5344,$94.23
07/10/2025,$94.86,18894790,$96.66,$96.78,$94.735
07/09/2025,$96.81,13702620,$97.15,$97.29,$96.38
07/08/2025,$97.09,16874950,$98.82,$99.17,$96.51
07/07/2025,$99.35,12930910,$98.23,$99.35,$97.62
07/03/2025,$98.36,7686204,$97.70,$98.48,$97.42
07/02/2025,$97.61,12501970,$98.125,$98.3817,$97.055
07/01/2025,$98.24,15635850,$97.60,$99.1899,$97.4238
06/30/2025,$97.78,17803030,$97.23,$98.14,$96.31
06/27/2025,$97.27,31431910,$96.32,$97.76,$96.16
06/26/2025,$96.02,19361420,$96.90,$97.34,$95.915
06/25/2025,$97.26,11154680,$98.31,$98.56,$97.15
06/24/2025,$98.00,22403660,$97.73,$99.105,$97.25
06/23/2025,$97.87,20432350,$95.92,$97.93,$95.67
06/20/2025,$96.12,20604920,$95.24,$96.31,$95.20
06/18/2025,$95.09,11333690,$94.57,$95.49,$94.09
06/17/2025,$94.25,14935630,$93.95,$94.82,$93.62
06/16/2025,$94.29,14881660,$94.75,$95.78,$94.095
06/13/2025,$94.44,18694740,$94.52,$95.32,$94.005
06/12/2025,$94.83,17845700,$94.89,$95.26,$93.43
06/11/2025,$95.80,16389620,$97.29,$97.29,$95.35
06/10/2025,$97.32,17162470,$97.29,$98.0892,$96.48
06/09/2025,$97.45,13655700,$97.40,$97.85,$96.77
06/06/2025,$97.47,15599290,$98.37,$98.56,$96.97
06/05/2025,$97.96,15825280,$99.295,$99.59,$97.605
06/04/2025,$99.35,11115650,$99.79,$100.13,$99.32
06/03/2025,$99.98,15598640,$99.565,$100.89,$98.57
06/02/2025,$99.77,16999210,$98.84,$99.905,$98.05
05/30/2025,$98.72,29980070,$96.96,$98.93,$96.60
05/29/2025,$97.10,14343740,$97.63,$97.77,$96.8509
05/28/2025,$97.24,11220100,$97.52,$98.24,$97.06
05/27/2025,$97.58,17180940,$97.30,$97.795,$96.58
05/23/2025,$96.34,13668620,$95.34,$96.54,$95.00
05/22/2025,$95.93,13712160,$96.54,$96.96,$95.815
05/21/2025,$96.43,15742340,$97.125,$97.7556,$95.975
05/20/2025,$97.80,15609610,$98.555,$98.8183,$96.52
05/19/2025,$98.12,20041570,$96.65,$98.28,$95.81
05/16/2025,$98.24,33746190,$96.14,$99.1946,$95.995
05/15/2025,$96.35,44026130,$94.30,$96.72,$91.89
05/14/2025,$96.83,25620110,$96.025,$97.33,$95.83
05/13/2025,$95.88,19746660,$96.50,$97.32,$95.225
05/12/2025,$96.75,26783930,$97.67,$97.97,$95.62
05/09/2025,$96.72,13697820,$96.75,$97.20,$96.29
05/08/2025,$97.43,14461120,$98.75,$99.33,$97.355
05/07/2025,$98.83,11310190,$98.55,$99.2308,$98.31
05/06/2025,$98.55,10626000,$98.74,$99.47,$98.41
05/05/2025,$99.33,12439130,$98.94,$99.74,$98.53
05/02/2025,$98.75,16031370,$97.95,$99.22,$97.85
05/01/2025,$97.41,13171780,$97.015,$97.90,$96.59
04/30/2025,$97.25,21639860,$95.94,$97.78,$94.93
04/29/2025,$96.04,12679030,$94.84,$96.18,$94.42
04/28/2025,$95.22,12950000,$95.10,$96.00,$94.34
04/25/2025,$95.09,15317220,$95.80,$96.47,$94.36
04/24/2025,$95.84,13444530,$94.71,$96.215,$93.6601
04/23/2025,$94.96,18046890,$95.0164,$96.60,$94.1619
04/22/2025,$94.85,15407770,$92.88,$95.29,$92.88
04/21/2025,$92.41,18361210,$93.02,$94.08,$91.34
04/17/2025,$93.22,21393920,$91.83,$93.87,$91.62
04/16/2025,$91.19,22229110,$94.00,$94.30,$90.61
04/15/2025,$93.97,21871210,$94.82,$96.03,$93.87
04/14/2025,$94.73,27742920,$93.27,$95.44,$92.90
04/11/2025,$92.80,25508140,$90.68,$93.35,$90.01
04/10/2025,$90.61,34735320,$88.73,$91.87,$88.1634
04/09/2025,$89.60,46632760,$83.325,$90.80,$83.02
04/08/2025,$81.79,34351740,$85.85,$86.965,$81.03
04/07/2025,$83.83,36884940,$80.24,$86.26,$79.81
04/04/2025,$83.19,36209020,$85.64,$87.39,$82.65
04/03/2025,$87.26,33012930,$86.28,$89.88,$86.28
04/02/2025,$89.76,19384140,$88.20,$90.145,$88.1175
04/01/2025,$88.83,22080250,$87.535,$89.11,$87.37
03/31/2025,$87.79,30269310,$84.76,$88.20,$84.37
03/28/2025,$85.15,14790570,$85.43,$85.83,$84.70
03/27/2025,$85.63,16782810,$84.775,$86.11,$84.775
03/26/2025,$85.21,27241500,$85.19,$85.56,$84.57
03/25/2025,$84.76,27908570,$86.76,$87.305,$84.62
03/24/2025,$87.49,17900730,$86.47,$87.65,$86.35
03/21/2025,$85.98,26797180,$85.28,$86.23,$84.78
03/20/2025,$85.81,18185510,$85.81,$87.08,$85.515
03/19/2025,$86.33,24555860,$85.95,$86.785,$85.62
03/18/2025,$85.59,17850930,$87.44,$87.675,$85.50
03/17/2025,$87.46,26297770,$85.13,$87.985,$84.98
03/14/2025,$85.35,35500650,$84.96,$85.37,$84.06
03/13/2025,$84.50,31507750,$84.94,$85.45,$83.87
03/12/2025,$85.20,33301610,$87.88,$89.10,$84.88
03/11/2025,$87.44,28687590,$87.29,$89.345,$87.14
03/10/2025,$87.82,35148840,$89.76,$90.23,$86.61
03/07/2025,$91.72,35913160,$93.94,$93.95,$90.76
03/06/2025,$94.64,19957800,$94.80,$96.19,$94.1833
03/05/2025,$95.98,17638960,$94.97,$96.39,$94.75
03/04/2025,$94.97,25227670,$95.76,$97.05,$94.46
03/03/2025,$97.59,18372190,$97.98,$99.49,$96.825
02/28/2025,$98.61,25451260,$97.79,$98.86,$97.17
02/27/2025,$96.79,16431470,$95.90,$98.0399,$95.8092
02/26/2025,$96.20,19069720,$97.70,$98.725,$96.07
02/25/2025,$97.69,29331190,$94.35,$97.91,$94.24
02/24/2025,$93.67,29755880,$94.18,$94.64,$92.12
02/21/2025,$94.78,35014810,$96.53,$96.85,$94.115
02/20/2025,$97.21,55450920,$98.78,$100.12,$96.6808
02/19/2025,$104.00,18507980,$103.85,$104.20,$102.55
02/18/2025,$103.78,18247310,$103.72,$103.99,$102.51
02/14/2025,$104.04,14109460,$105.30,$105.30,$103.60
02/13/2025,$105.05,12604410,$104.00,$105.24,$103.53
02/12/2025,$103.61,15162130,$102.12,$103.90,$102.04
02/11/2025,$102.47,11953630,$102.62,$102.85,$101.85
02/10/2025,$102.92,15274640,$101.95,$102.93,$101.25
02/07/2025,$101.15,12451070,$103.00,$103.11,$101.11
02/06/2025,$102.85,13088470,$102.53,$103.02,$101.94
