Date,Close/Last,Volume,Open,High,Low
02/03/2026,$143.73,37577840,$138.64,$145.01,$138.31
02/02/2026,$138.40,27735570,$139.83,$140.32,$138.06
01/30/2026,$141.40,29657670,$138.74,$142.205,$137.83
01/29/2026,$140.51,35760620,$140.32,$142.34,$139.11
01/28/2026,$137.58,15637280,$137.69,$138.01,$136.67
01/27/2026,$136.83,14517030,$135.245,$136.93,$134.71
01/26/2026,$134.84,16056070,$136.93,$136.9398,$134.17
01/23/2026,$134.97,17758210,$135.085,$135.98,$134.48
01/22/2026,$133.64,16600130,$133.05,$134.18,$131.85
01/21/2026,$133.61,18879890,$131.91,$133.725,$131.91
01/20/2026,$130.46,16477280,$131.51,$131.94,$130.07
01/16/2026,$129.89,16592350,$128.91,$130.16,$128.87
01/15/2026,$129.13,17400040,$129.13,$130.195,$128.30
01/14/2026,$130.20,27593940,$127.35,$131.721,$127.13
01/13/2026,$126.54,21619730,$125.00,$127.14,$124.81
01/12/2026,$124.03,15314900,$124.46,$124.50,$122.56
01/09/2026,$124.61,16137670,$123.23,$124.86,$123.095
01/08/2026,$122.91,20232720,$118.98,$123.625,$118.655
01/07/2026,$118.49,20352950,$119.80,$120.12,$118.274
01/06/2026,$121.05,23328640,$125.35,$125.80,$121.00
01/05/2026,$125.36,30112240,$125.21,$125.93,$122.39
01/02/2026,$122.65,14175060,$120.09,$122.68,$119.6067
12/31/2025,$120.34,10559870,$121.18,$121.26,$119.865
12/30/2025,$120.99,11150490,$121.10,$121.796,$120.63
12/29/2025,$120.53,14782510,$120.15,$121.2998,$119.40
12/26/2025,$119.11,8066129,$118.885,$119.55,$118.53
12/24/2025,$119.22,6137406,$119.33,$120.05,$119.1177
12/23/2025,$119.42,12567630,$118.47,$120.03,$118.32
12/22/2025,$118.15,11768610,$117.335,$118.46,$117.335
12/19/2025,$116.69,45412810,$116.75,$117.57,$115.955
12/18/2025,$116.54,13705560,$116.99,$116.99,$115.63
12/17/2025,$117.41,18502150,$115.21,$117.62,$115.17
12/16/2025,$114.68,17638720,$116.765,$116.84,$114.61
12/15/2025,$117.76,16358670,$119.01,$119.03,$116.85
12/12/2025,$118.82,14459540,$119.44,$119.92,$118.31
12/11/2025,$119.54,14781790,$119.11,$120.36,$119.065
12/10/2025,$119.54,19845190,$118.725,$119.865,$118.37
12/09/2025,$118.25,23790820,$116.90,$120.47,$116.89
12/08/2025,$115.98,14904160,$115.83,$117.00,$115.04
12/05/2025,$116.54,12516860,$116.75,$118.775,$116.41
12/04/2025,$117.14,13686900,$117.50,$118.34,$116.66
12/03/2025,$117.80,16819130,$115.945,$117.98,$115.875
12/02/2025,$115.38,14607700,$116.44,$116.60,$114.69
12/01/2025,$116.63,12658100,$116.10,$117.41,$116.10
11/28/2025,$115.92,7240825,$114.95,$118.74,$114.82
11/26/2025,$114.77,11650600,$114.41,$115.7391,$114.31
11/25/2025,$114.51,14434560,$115.18,$115.90,$114.19
11/24/2025,$115.97,18034920,$117.20,$117.20,$114.74
11/21/2025,$117.08,15667600,$116.99,$117.38,$115.65
11/20/2025,$117.02,14401010,$117.98,$119.005,$116.74
11/19/2025,$117.35,15919240,$116.85,$118.18,$115.93
11/18/2025,$119.03,15808520,$117.26,$119.48,$116.48
11/17/2025,$117.68,16034860,$118.97,$119.50,$117.11
11/14/2025,$119.29,17064270,$118.45,$119.48,$116.6564
11/13/2025,$118.79,17291870,$118.63,$119.76,$118.28
11/12/2025,$118.12,13790890,$119.10,$119.28,$117.79
11/11/2025,$119.78,16077100,$118.83,$120.8099,$118.83
11/10/2025,$118.22,13047960,$117.44,$118.45,$115.455
11/07/2025,$117.22,17181150,$115.21,$117.505,$114.90
11/06/2025,$114.50,14219650,$113.64,$114.935,$113.64
11/05/2025,$113.68,12400920,$114.09,$115.18,$113.67
11/04/2025,$114.14,16860740,$113.38,$114.3501,$112.51
11/03/2025,$113.76,12290300,$114.50,$114.99,$113.64
10/31/2025,$114.36,20213350,$113.975,$115.225,$112.6225
10/30/2025,$114.69,16172940,$116.425,$116.52,$114.53
10/29/2025,$116.45,12570570,$114.92,$117.05,$114.81
10/28/2025,$115.03,9535211,$115.49,$116.18,$114.99
10/27/2025,$115.94,10975410,$115.695,$115.985,$115.10
10/24/2025,$115.39,9919409,$116.35,$116.47,$115.18
10/23/2025,$115.98,15001090,$116.63,$116.85,$115.36
10/22/2025,$114.71,12938790,$113.45,$115.18,$113.08
10/21/2025,$112.71,9202349,$112.89,$113.3601,$111.99
10/20/2025,$112.70,9523617,$112.00,$113.15,$111.98
10/17/2025,$112.24,13460070,$111.63,$112.91,$111.18
10/16/2025,$110.64,11782200,$111.88,$112.19,$110.385
10/15/2025,$111.61,12182940,$112.80,$113.57,$110.97
10/14/2025,$112.29,11167150,$110.755,$112.962,$110.71
10/13/2025,$112.24,10296500,$111.54,$112.30,$111.315
10/10/2025,$110.73,13811580,$112.255,$112.62,$110.71
10/09/2025,$112.91,10976220,$114.425,$115.51,$112.735
10/08/2025,$114.02,12300970,$114.38,$115.01,$113.41
10/07/2025,$114.26,11945030,$114.07,$114.51,$111.74
10/06/2025,$114.20,12036830,$113.29,$114.77,$113.18
10/03/2025,$113.26,12950120,$111.90,$113.745,$111.90
10/02/2025,$111.29,13062560,$111.97,$113.09,$111.025
10/01/2025,$111.99,16613990,$112.56,$113.02,$111.2925
09/30/2025,$112.75,18076210,$113.35,$113.49,$111.9393
09/29/2025,$114.22,19189260,$116.06,$116.50,$113.665
09/26/2025,$117.22,18568920,$115.96,$118.36,$115.92
09/25/2025,$115.59,15012550,$114.64,$115.8999,$114.41
09/24/2025,$114.56,14756050,$114.57,$115.76,$114.47
